Setup title,I_V_light_0_1
0.86,1.57015E-09
0.85,1.51739E-09
0.84,1.49618E-09
0.83,1.49942E-09
0.82,1.36368E-09
0.81,1.39714E-09
0.8,1.40475E-09
0.79,1.30776E-09
0.78,1.27964E-09
0.77,1.48035E-09
0.76,1.32484E-09
0.75,1.28264E-09
0.74,1.24507E-09
0.73,1.28104E-09
0.72,1.24167E-09
0.71,1.33693E-09
0.7,1.24719E-09
0.69,1.31087E-09
0.68,1.23268E-09
0.67,1.26386E-09
0.66,1.12113E-09
0.65,1.13557E-09
0.64,1.14505E-09
0.63,1.19223E-09
0.62,1.14833E-09
0.61,1.10328E-09
0.6,1.07546E-09
0.59,1.03749E-09
0.58,1.00882E-09
0.57,1.00911E-09
0.56,9.9758E-10
0.55,8.8501E-10
0.54,9.2658E-10
0.53,1.00826E-09
0.52,9.8988E-10
0.51,8.6896E-10
0.5,9.2833E-10
0.49,1.02754E-09
0.48,1.17536E-09
0.47,1.13146E-09
0.46,1.26465E-09
0.45,1.21524E-09
0.44,1.22556E-09
0.43,1.15235E-09
0.42,1.17064E-09
0.41,1.04736E-09
0.4,8.9237E-10
0.39,7.4335E-10
0.38,7.2642E-10
0.37,7.2987E-10
0.36,7.4603E-10
0.35,7.1444E-10
0.34,7.4447E-10
0.33,7.7932E-10
0.32,7.4175E-10
0.31,7.3883E-10
0.3,7.3486E-10
0.29,7.004E-10
0.28,7.5387E-10
0.27,7.1245E-10
0.26,7.2236E-10
0.25,7.7601E-10
0.24,8.4349E-10
0.23,7.7155E-10
0.22,7.4878E-10
0.21,7.2307E-10
0.2,6.8021E-10
0.19,5.9342E-10
0.18,6.6956E-10
0.17,5.8213E-10
0.16,5.0856E-10
0.15,5.3298E-10
0.14,5.4221E-10
0.13,5.8785E-10
0.12,5.8673E-10
0.11,5.5689E-10
0.1,4.9577E-10
0.09,5.1009E-10
0.08,4.616E-10
0.07,4.2645E-10
0.06,4.432E-10
0.05,3.7658E-10
0.04,4.178E-10
0.03,3.1225E-10
0.02,1.6771E-10
0.01,8.256E-11
0,-1.201E-11
