Setup title,"2-terminal dual Vsweep"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:01:13
Device ID,
Count,2
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,1,0.01,-1,0.01,MEDIUM,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
-0.75,9.4E-13
-0.74,4.61E-12
-0.73,1.07E-12
-0.72,3.68E-12
-0.71,2.2E-13
-0.7,4.59E-12
-0.69,1.21E-12
-0.68,2.21E-12
-0.67,-1.4E-12
-0.66,1.82E-12
-0.65,-5.7E-13
-0.64,2.68E-12
-0.63,-1.17E-12
-0.62,2.44E-12
-0.61,-5.1E-13
-0.6,1.64E-12
-0.59,-1.81E-12
-0.58,1.29E-12
-0.57,-8.9E-13
-0.56,2.07E-12
-0.55,-1.42E-12
-0.54,1.26E-12
-0.53,-8.8E-13
-0.52,9.1E-13
-0.51,-1.9E-13
-0.5,2E-13
-0.49,-1.4E-12
-0.48,2.95E-12
-0.47,-1.7E-13
-0.46,1.36E-12
-0.45,-2.5E-13
-0.44,2.02E-12
-0.43,-1.2E-13
-0.42,7.4E-13
-0.41,-1.14E-12
-0.4,1.82E-12
-0.39,-9.2E-13
-0.38,9.9E-13
-0.37,-7.8E-13
-0.36,1.32E-12
-0.35,4E-14
-0.34,9E-13
-0.33,-2.49E-12
-0.32,8.2E-13
-0.31,-7.5E-13
-0.3,1.72E-12
-0.29,-1.35E-12
-0.28,1.22E-12
-0.27,-3.3E-13
-0.26,1.48E-12
-0.25,-2.23E-12
-0.24,1.2E-12
-0.23,-5.4E-13
-0.22,1.53E-12
-0.21,-1.6E-12
-0.2,6.9E-13
-0.19,-1.19E-12
-0.18,1.73E-12
-0.17,-1.05E-12
-0.16,4.2E-13
-0.15,-8.1E-13
-0.14,1.77E-12
-0.13,-2.65E-12
-0.12,3E-13
-0.11,-1.35E-12
-0.1,2.42E-12
-0.09,-1.92E-12
-0.08,5.8E-13
-0.07,-1.44E-12
-0.06,1.24E-12
-0.05,-2.63E-12
-0.04,8.6E-13
-0.03,-1.37E-12
-0.02,1.63E-12
-0.01,-1.62E-12
0,4.2E-13
