Setup title,I_V_Dark_-2-0
-0.88,-4.7E-12
-0.89,-5.3E-12
-0.9,-5.3E-12
-0.91,-4E-12
-0.92,-1E-12
-0.93,2E-12
-0.94,1.1E-12
-0.95,1.6E-12
-0.96,2.1E-12
-0.97,2E-12
-0.98,-2.4E-12
-0.99,-3.8E-12
-1,-4.1E-12
-1.01,-4E-12
-1.02,1.6E-12
-1.03,1.5E-12
-1.04,2.1E-12
-1.05,1.7E-12
-1.06,-3.8E-12
-1.07,-4.1E-12
-1.08,-4.3E-12
-1.09,-1.5E-12
-1.1,1.7E-12
-1.11,1.2E-12
-1.12,-5E-12
-1.13,-5E-12
-1.14,-1E-12
-1.15,6E-13
-1.16,1.3E-12
-1.17,2.3E-12
-1.18,1E-12
-1.19,-3.1E-12
-1.2,-3.7E-12
-1.21,6E-13
-1.22,-3.8E-12
-1.23,-4E-12
-1.24,-4.4E-12
-1.25,-5.4E-12
-1.26,1.2E-12
-1.27,-4.8E-12
-1.28,-4.5E-12
-1.29,-5E-12
-1.3,1.1E-12
-1.31,-3.1E-12
-1.32,-5E-13
-1.33,0
-1.34,4E-13
-1.35,3E-13
-1.36,-4.1E-12
-1.37,-5E-12
-1.38,-4.8E-12
-1.39,0
-1.4,-4.5E-12
-1.41,-5.2E-12
-1.42,3E-13
-1.43,-4E-13
-1.44,0
-1.45,-5.3E-12
-1.46,-8E-13
-1.47,-9E-13
-1.48,-1E-12
-1.49,-5.7E-12
-1.5,-2E-13
-1.51,-1.3E-12
-1.52,-5.4E-12
-1.53,-2.2E-12
-1.54,-6E-12
-1.55,-7.1E-12
-1.56,-2.5E-12
-1.57,-3.6E-12
-1.58,-2.6E-12
-1.59,-3.2E-12
-1.6,-8.2E-12
-1.61,-3.2E-12
-1.62,-7.8E-12
-1.63,-3.2E-12
-1.64,-3.7E-12
-1.65,-5.5E-12
-1.66,-3.5E-12
-1.67,-3.5E-12
-1.68,-8.4E-12
-1.69,-3.9E-12
-1.7,-8.5E-12
-1.71,-3.8E-12
-1.72,-8.7E-12
-1.73,-4.3E-12
-1.74,-8.5E-12
-1.75,-4E-12
-1.76,-4.2E-12
-1.77,-9.6E-12
-1.78,-4.2E-12
-1.79,-9.7E-12
-1.8,-4.1E-12
-1.81,-5E-12
-1.82,-9.9E-12
-1.83,-9.8E-12
-1.84,-1.02E-11
-1.85,-5.15E-12
-1.86,-4.62E-12
-1.87,-6.4E-12
-1.88,-6.95E-12
-1.89,-7.11E-12
-1.9,-5.31E-12
-1.91,-5.76E-12
-1.92,-6.28E-12
-1.93,-4.82E-12
-1.94,-6.39E-12
-1.95,-5.67E-12
-1.96,-4.69E-12
-1.97,-7.01E-12
-1.98,-5.46E-12
-1.99,-6.09E-12
-2,-6.75E-12
-2,-5.26E-12
-1.99,-3.11E-12
-1.98,5.4E-13
-1.97,9.2E-13
-1.96,3.05E-12
-1.95,4.02E-12
-1.94,2.77E-12
-1.93,5.31E-12
-1.92,4.81E-12
-1.91,4.26E-12
-1.9,5.36E-12
-1.89,3.79E-12
-1.88,4.73E-12
-1.87,5.2E-12
-1.86,3.66E-12
-1.85,5.79E-12
-1.84,4.77E-12
-1.83,4.59E-12
-1.82,5.61E-12
-1.81,3.71E-12
-1.8,4.86E-12
-1.79,5.28E-12
-1.78,3.78E-12
-1.77,5.57E-12
-1.76,4.65E-12
-1.75,4.2E-12
-1.74,5.63E-12
-1.73,5.91E-12
-1.72,3.6E-12
-1.71,4.78E-12
-1.7,4.65E-12
-1.69,5.03E-12
-1.68,3.09E-12
-1.67,4.92E-12
-1.66,4.54E-12
-1.65,3.56E-12
-1.64,3.28E-12
-1.63,5.13E-12
-1.62,3.25E-12
-1.61,3.52E-12
-1.6,3.58E-12
-1.59,4.34E-12
-1.58,2.45E-12
-1.57,4.15E-12
-1.56,3.33E-12
-1.55,2.76E-12
-1.54,4.23E-12
-1.53,2.2E-12
-1.52,3E-12
-1.51,3.31E-12
-1.5,1.63E-12
-1.49,3.19E-12
-1.48,2.02E-12
-1.47,1.65E-12
-1.46,2.67E-12
-1.45,1.15E-12
-1.44,1.65E-12
-1.43,1.92E-12
-1.42,7E-14
-1.41,1.92E-12
-1.4,8.9E-13
-1.39,2.6E-13
-1.38,1.7E-12
-1.37,-9E-14
-1.36,6.2E-13
-1.35,9.4E-13
-1.34,-9.9E-13
-1.33,8.4E-13
-1.32,3.3E-13
-1.31,-3.5E-13
-1.3,1.49E-12
-1.29,-7.3E-13
-1.28,1.5E-13
-1.27,1.01E-12
-1.26,-8E-13
-1.25,8.5E-13
-1.24,-2.2E-13
-1.23,-4.2E-13
-1.22,9.5E-13
-1.21,-8.9E-13
-1.2,-3E-13
-1.19,3.8E-13
-1.18,-1.26E-12
-1.17,9.8E-13
-1.16,2.5E-13
-1.15,-5.1E-13
-1.14,3E-13
-1.13,-9.7E-13
-1.12,3.3E-13
-1.11,2.2E-13
-1.1,-1.32E-12
-1.09,1.02E-12
-1.08,-5.1E-13
-1.07,-3.8E-13
-1.06,7.9E-13
-1.05,-1.53E-12
-1.04,2E-13
-1.03,6.1E-13
-1.02,-1.25E-12
-1.01,8.8E-13
-1,-5.8E-13
-0.99,-6.8E-13
-0.98,3.5E-13
-0.97,-1.33E-12
-0.96,3.7E-13
-0.95,-1E-13
-0.94,-1.32E-12
-0.93,1.5E-12
-0.92,-4.4E-13
-0.91,-4.1E-13
-0.9,7E-14
-0.89,-1.45E-12
-0.88,2.7E-13
-0.87,1E-14
-0.86,-1.62E-12
-0.85,9.2E-13
-0.84,-8E-13
-0.83,-3.4E-13
-0.82,6.5E-13
-0.81,-1.89E-12
-0.8,-4E-13
-0.79,5.3E-13
-0.78,-1.26E-12
-0.77,9.5E-13
-0.76,-1.04E-12
-0.75,-9.6E-13
-0.74,1.12E-12
-0.73,-1.08E-12
-0.72,-2.5E-13
-0.71,8.9E-13
-0.7,-1.82E-12
-0.69,1.16E-12
-0.68,1E-13
-0.67,-5.7E-13
-0.66,8.7E-13
-0.65,-1.28E-12
-0.64,-4.2E-13
-0.63,5.3E-13
-0.62,-1.15E-12
-0.61,3.8E-13
-0.6,7E-14
-0.59,-7.4E-13
-0.58,9.2E-13
-0.57,-9.5E-13
-0.56,-2.4E-13
-0.55,9.9E-13
-0.54,-1.09E-12
-0.53,1.1E-13
-0.52,7E-14
-0.51,-1.53E-12
-0.5,1.14E-12
-0.49,-9.3E-13
-0.48,-4E-14
-0.47,1.58E-12
-0.46,-8E-13
-0.45,1E-12
-0.44,1.9E-12
-0.43,-6.1E-12
-0.42,-5.8E-12
-0.41,-6.8E-12
-0.4,-2.9E-12
-0.39,1.6E-12
-0.38,1.2E-12
-0.37,2.2E-12
-0.36,1.6E-12
-0.35,-6.5E-12
-0.34,-7.1E-12
-0.33,-6.6E-12
-0.32,-3.1E-12
-0.31,2.5E-12
-0.3,2.7E-12
-0.29,-5E-13
-0.28,-4.9E-12
-0.27,-7.1E-12
-0.26,-6.8E-12
-0.25,-1.8E-12
-0.24,2.5E-12
-0.23,-1E-12
-0.22,1.7E-12
-0.21,1.8E-12
-0.2,2E-12
-0.19,-6.7E-12
-0.18,-7.6E-12
-0.17,-8.2E-12
-0.16,-3.5E-12
-0.15,3E-12
-0.14,2E-12
-0.13,2.5E-12
-0.12,2.9E-12
-0.11,-7.6E-12
-0.1,-7.7E-12
-0.09,-7.2E-12
-0.08,-2.4E-12
-0.07,2.6E-12
-0.06,3.6E-12
-0.05,1.2E-12
-0.04,-3.9E-12
-0.03,-7.6E-12
-0.02,-1.7E-12
-0.01,-6E-12
0,-7.4E-12
