Setup title,"2-terminal dual Vsweep_long_dark_-2-2V"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:14:24
Device ID,
Count,1
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,2,0.01,-2,0.01,LONG,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
0.13,-1.1E-13
0.12,-1.3E-13
0.11,-9E-14
0.1,-1.3E-13
0.09,-9E-14
0.08,-2.3E-13
0.07,-1.2E-13
0.06,-2.6E-13
0.05,-1.2E-13
0.04,-1.9E-13
0.03,-3E-14
0.02,-1.8E-13
0.01,-2.3E-13
0,-5.8E-13
-0.01,-3.7E-13
-0.02,-2.1E-13
-0.03,-2.9E-13
-0.04,-1.9E-13
-0.05,-1.2E-13
-0.06,-1.5E-13
-0.07,-3.2E-13
-0.08,-5E-14
-0.09,-4E-14
-0.1,-1E-13
-0.11,-3E-14
-0.12,-2.7E-13
-0.13,-2.1E-13
-0.14,-1.4E-13
-0.15,-3.5E-13
-0.16,-2.1E-13
-0.17,-1E-13
-0.18,-9E-14
-0.19,-1.9E-13
-0.2,-2.1E-13
-0.21,-1.1E-13
-0.22,-1.2E-13
-0.23,-1.7E-13
-0.24,-2.2E-13
-0.25,-1.3E-13
-0.26,-1.1E-13
-0.27,-1.7E-13
-0.28,-2.3E-13
-0.29,-4E-14
-0.3,-2.1E-13
-0.31,-2.9E-13
-0.32,-2.6E-13
-0.33,-1.7E-13
-0.34,-2.2E-13
-0.35,-1.5E-13
-0.36,-1.5E-13
-0.37,-2.2E-13
-0.38,-2E-13
-0.39,-1.2E-13
-0.4,-2.1E-13
-0.41,-2.7E-13
-0.42,-2.1E-13
-0.43,-8E-14
-0.44,-6E-14
-0.45,-1.9E-13
-0.46,-2.4E-13
-0.47,-8E-14
-0.48,-7E-14
-0.49,-2.4E-13
-0.5,-2.6E-13
-0.51,-1.3E-13
-0.52,-1.2E-13
-0.53,-2.5E-13
-0.54,-2.5E-13
-0.55,-1.2E-13
-0.56,-1E-13
-0.57,-2.3E-13
-0.58,-2.3E-13
-0.59,-8E-14
-0.6,-1.3E-13
-0.61,-3.1E-13
-0.62,-2.8E-13
-0.63,-9E-14
-0.64,-1.5E-13
-0.65,-3E-13
-0.66,-3.4E-13
-0.67,-1.5E-13
-0.68,-2.4E-13
-0.69,-3.5E-13
-0.7,-4E-13
-0.71,-2.5E-13
-0.72,-3.4E-13
-0.73,-4.6E-13
-0.74,-5.4E-13
-0.75,-4.6E-13
-0.76,-3.8E-13
-0.77,-5.3E-13
-0.78,-6.1E-13
-0.79,-5.5E-13
-0.8,-5.9E-13
-0.81,-8.5E-13
-0.82,-8E-13
-0.83,-7.8E-13
-0.84,-9.7E-13
-0.85,-1.24E-12
-0.86,-1.35E-12
-0.87,-1.52E-12
-0.88,-1.7E-12
-0.89,-1.92E-12
-0.9,-2.14E-12
-0.91,-2.37E-12
-0.92,-2.73E-12
-0.93,-3.15E-12
-0.94,-3.38E-12
-0.95,-3.63E-12
-0.96,-4.14E-12
-0.97,-4.37E-12
-0.98,-4.63E-12
-0.99,-4.98E-12
-1,-5.41E-12
-1.01,-5.68E-12
-1.02,-5.76E-12
-1.03,-6.05E-12
-1.04,-6.48E-12
-1.05,-6.72E-12
-1.06,-6.88E-12
-1.07,-7.08E-12
-1.08,-7.4E-12
-1.09,-7.67E-12
-1.1,-7.79E-12
-1.11,-7.91E-12
-1.12,-8.15E-12
-1.13,-8.33E-12
-1.14,-8.38E-12
-1.15,-8.46E-12
-1.16,-8.69E-12
-1.17,-8.83E-12
-1.18,-8.91E-12
-1.19,-8.99E-12
-1.2,-9.18E-12
-1.21,-9.33E-12
-1.22,-9.42E-12
-1.23,-9.53E-12
-1.24,-9.62E-12
-1.25,-9.61E-12
-1.26,-9.66E-12
-1.27,-9.82E-12
-1.28,-9.97E-12
-1.29,-9.97E-12
-1.3,-9.94E-12
-1.31,-1.003E-11
-1.32,-1.027E-11
-1.33,-1.02E-11
-1.34,-1.015E-11
-1.35,-1.026E-11
-1.36,-1.044E-11
-1.37,-1.049E-11
-1.38,-1.045E-11
-1.39,-1.064E-11
-1.4,-1.055E-11
-1.41,-1.055E-11
-1.42,-1.06E-11
-1.43,-1.077E-11
-1.44,-1.076E-11
-1.45,-1.08E-11
-1.46,-1.089E-11
-1.47,-1.079E-11
-1.48,-1.081E-11
-1.49,-1.093E-11
-1.5,-1.102E-11
-1.51,-1.089E-11
-1.52,-1.083E-11
-1.53,-1.101E-11
-1.54,-1.117E-11
-1.55,-1.11E-11
-1.56,-1.105E-11
-1.57,-1.113E-11
-1.58,-1.132E-11
-1.59,-1.122E-11
-1.6,-1.107E-11
-1.61,-1.119E-11
-1.62,-1.137E-11
-1.63,-1.128E-11
-1.64,-1.126E-11
