Setup title,"I/V Sweep_light_part2_0_2V"
0.46,3.4E-13
0.45,9E-14
0.44,7E-14
0.43,2.6E-13
0.42,4E-13
0.41,6E-14
0.4,-1E-13
0.39,2.5E-13
0.38,-1.4E-13
0.37,1.5E-13
0.36,2.4E-13
0.35,2.8E-13
0.34,5E-14
0.33,1E-13
0.32,5.4E-13
0.31,1.5E-13
0.3,-5E-13
0.29,1E-13
0.28,1.4E-13
0.27,-1.6E-13
0.26,-2E-14
0.25,-3E-14
0.24,-2.3E-13
0.23,-2.7E-13
0.22,2.1E-13
0.21,8E-14
0.2,-3.2E-13
0.19,-2E-14
0.18,1.3E-13
0.17,3E-14
0.16,-4E-14
0.15,7E-14
0.14,5E-14
0.13,-2.2E-13
0.12,-2.5E-13
0.11,-1E-14
0.1,2.6E-13
0.09,-1.4E-13
0.08,-4.9E-13
0.07,-1.8E-13
0.06,1.1E-13
0.05,-1E-14
0.04,-3.8E-13
0.03,-6E-14
0.02,-6E-14
0.01,-3.5E-13
0,-3.4E-13
