Setup title,"I/V Sweep_light_part2_0_2V"
0.47,-6.5E-13
0.46,1.7E-13
0.45,2.5E-13
0.44,-6.1E-13
0.43,-5E-14
0.42,7E-14
0.41,-6.3E-13
0.4,3.3E-13
0.39,-7.4E-13
0.38,2.3E-13
0.37,-3.9E-13
0.36,-5.6E-13
0.35,-6E-14
0.34,-6.3E-13
0.33,3E-14
0.32,5E-14
0.31,-6.9E-13
0.3,2.7E-13
0.29,-7.5E-13
0.28,3E-13
0.27,-6.9E-13
0.26,3.4E-13
0.25,-6.3E-13
0.24,3.1E-13
0.23,-5.6E-13
0.22,3.6E-13
0.21,-4.8E-13
0.2,-6.4E-13
0.19,1E-13
0.18,-7.4E-13
0.17,4.1E-13
0.16,-7.6E-13
0.15,9E-14
0.14,3.8E-13
0.13,-5.5E-13
0.12,1E-14
0.11,-6.2E-13
0.1,2.2E-13
0.09,-6E-14
0.08,3E-13
0.07,-7.5E-13
0.06,1.5E-13
0.05,-5.4E-13
0.04,4.2E-13
0.03,-7.4E-13
0.02,1E-13
0.01,-6.7E-13
0,2E-14
