Time,I1
130.50194,3.17E-12
130.75219,5.82E-12
131.00218,-1.036E-11
131.25235,-1.185E-11
131.5035,-9.75E-12
131.75356,-9.66E-12
132.00378,7.99E-12
132.255,-9.39E-12
132.50487,-3.79E-12
132.75511,4.34E-12
133.00518,2.1E-12
133.25636,7.88E-12
133.50619,6.8E-13
133.75646,3.84E-12
134.00788,-1.62E-12
134.25073,-2.39E-12
134.50191,-9.6E-12
134.75215,-2.59E-12
135.00214,8.8E-13
135.25074,7.95E-12
135.50192,2.23E-12
135.75214,-3.22E-12
136.00214,4.22E-12
136.25069,-5.84E-12
136.50193,-9E-13
136.75213,4.06E-12
137.00217,4.33E-12
137.25369,7.5E-13
137.5035,-6.1E-13
137.75376,-4.6E-13
138.00379,1.16E-12
138.255,-1.76E-12
138.50486,-7.5E-13
138.75511,4.4E-13
139.00625,-2.97E-12
139.25069,-1.48E-12
139.50758,-1.3E-12
139.75781,-9.21E-12
140.00212,3.76E-12
140.25073,-1.98E-12
140.50185,-1.111E-11
140.75207,-1.187E-11
141.00212,7.4E-13
141.25074,-2.83E-12
141.50187,-8.99E-12
141.75201,5.12E-12
142.00213,6.44E-12
142.25235,2.43E-12
142.50186,-7.4E-12
142.7535,3.32E-12
143.00373,2.43E-12
143.25365,-6.89E-12
143.5048,-6.39E-12
143.75484,-7E-13
144.00507,-2.56E-12
144.25505,5.95E-12
144.50617,5.07E-12
144.75618,2.99E-12
145.00644,-6.3E-13
145.25073,-7.86E-12
145.50185,-4.08E-12
145.75207,-1.086E-11
146.00208,-1.105E-11
146.25069,-1.112E-11
146.50185,-9.73E-12
146.75206,-9.53E-12
147.0021,-9.5E-12
147.25073,-8.48E-12
147.50179,-4.56E-12
147.75197,-8.7E-13
148.00238,-5.43E-12
148.2537,-9.98E-12
148.50344,-9.32E-12
148.75369,-8.33E-12
149.00504,-3.06E-12
149.25505,-3.25E-12
149.50478,-8.28E-12
149.75634,-3.29E-12
150.00639,-3.56E-12
150.25074,-5.53E-12
150.50748,-1.006E-11
150.75773,-8.67E-12
151.00205,-9.01E-12
151.25069,-5.92E-12
151.50175,-5.44E-12
151.75203,-1.78E-12
152.00207,-2.68E-12
152.25074,-2.6E-12
152.50181,-4.56E-12
152.7518,-8.82E-12
153.00201,-7.85E-12
153.25231,-8.57E-12
153.5018,-6.82E-12
153.75232,-7.4E-12
154.00371,-6.64E-12
154.25365,-4.08E-12
154.50474,-5.87E-12
154.755,-6.54E-12
155.00498,-4.42E-12
155.255,-3.99E-12
155.50609,-6.75E-12
155.75636,-5.06E-12
156.00613,-3.52E-12
156.25069,-1.81E-12
156.50745,-6.52E-12
156.75199,-5.29E-12
157.00199,-4.03E-12
157.25074,-1.8E-13
157.50172,-3.64E-12
157.75194,-4.1E-13
158.00203,-1E-14
158.25073,-4.72E-12
158.50175,-6.57E-12
158.75194,2.863E-11
159.00203,2.535E-11
159.25234,2.039E-11
159.50174,2.275E-11
159.75221,2.028E-11
160.00362,1.889E-11
160.25369,1.729E-11
160.5033,1.049E-11
160.7536,5.02E-12
161.00475,9.13E-12
161.25505,1.223E-11
161.50608,1.204E-11
161.75625,9.61E-12
162.00635,8.29E-12
162.25069,1.068E-11
162.5074,6.3E-12
162.75736,-2.27E-12
163.00201,2.4E-12
163.25069,-4.72E-12
163.50175,4.49E-12
163.75191,6.91E-12
164.00171,4.49E-12
164.25073,7.58E-12
164.50167,7.58E-12
164.75192,6.72E-12
165.00174,7.82E-12
165.25074,2.21E-12
165.50169,-3.89E-12
165.75168,1.054E-11
166.00193,6.26E-12
166.25231,-1.89E-12
166.50328,-6.07E-12
166.75353,-8.24E-12
167.00333,3.16E-12
167.2537,2.81E-12
167.50462,4.91E-12
167.75461,5.05E-12
168.00491,-1.26E-12
168.25636,4.3E-12
168.50596,8E-13
168.75626,2.26E-12
169.00626,2.39E-12
169.25073,3.04E-12
169.50169,7.28E-12
169.75184,-2.15E-12
170.00189,-4.74E-12
170.25073,-5.98E-12
170.50162,-3.2E-13
170.75184,1.01E-12
171.0019,-1.025E-11
171.25074,-1.208E-11
171.50166,-1.132E-11
171.75186,-1.107E-11
172.00193,-1.149E-11
172.251,-1.072E-11
172.5016,-4.18E-12
172.75212,-2.37E-12
173.00219,-3.98E-12
173.25365,-6.01E-12
173.50324,-7.86E-12
173.75349,-1.053E-11
174.00489,-1.058E-11
174.255,-8.81E-12
174.50459,-5.34E-12
174.75486,-5.33E-12
175.00622,-7.2E-12
175.25639,8.3E-13
175.50726,-9.08E-12
175.75757,-9.7E-12
176.0076,-9.35E-12
176.25069,-6.68E-12
176.50161,2.566E-11
176.75185,1.857E-11
177.00188,1.273E-11
177.25069,1.086E-11
177.50157,1.196E-11
177.75179,1.329E-11
178.00184,1.151E-11
178.25069,1.192E-11
178.50163,1.248E-11
178.75178,9.74E-12
179.00188,7.97E-12
179.25235,2.13E-12
179.50323,3.69E-12
179.75345,4.41E-12
180.0035,4.76E-12
180.25365,3.22E-12
180.50454,5.07E-12
180.75451,3.29E-12
181.00479,1.246E-11
181.255,1.071E-11
181.50593,4.09E-12
181.75616,4.36E-12
182.00616,7.43E-12
182.25073,6.2E-12
182.50159,4.79E-12
182.75176,2.3E-12
183.00184,3.56E-12
183.25074,5.53E-12
183.50152,7.14E-12
183.7515,8.91E-12
184.00179,3.15E-12
184.25069,3.81E-12
184.50151,-4.06E-12
184.75177,-5.07E-12
185.0018,-1.44E-12
185.25235,4.51E-12
185.50315,-1.67E-12
185.75342,-3.28E-12
186.00344,4.54E-12
186.25366,1.4E-12
186.50448,3.14E-12
186.7547,5.67E-12
187.00476,4.95E-12
187.25505,-5.4E-13
187.50581,3.99E-12
187.75609,1.72E-12
188.00614,-3.75E-12
188.25069,-8.9E-13
188.50152,-1.4E-13
188.75174,-3.16E-12
189.00182,-6.5E-13
189.25069,-3.1E-13
189.50148,-9.23E-12
189.75176,-1.22E-12
190.00156,1.77E-12
190.25073,-8.05E-12
190.50151,3.68E-12
190.75173,1.98E-12
191.00174,1.08E-12
191.25235,5E-13
191.50307,-1.5E-13
191.75339,-8.5E-13
192.00343,-9.05E-12
192.2537,8.93E-12
192.50442,2.95E-12
192.75466,-8.41E-12
193.0061,-8.52E-12
193.25636,4.76E-12
193.5058,3.75E-12
193.75742,2.24E-12
194.0074,2.65E-12
194.25073,9.29E-12
194.50153,1.03E-11
194.75166,-6.62E-12
195.00172,-2.95E-12
195.25073,-2.58E-12
195.50149,-1.013E-11
195.75168,-9.99E-12
196.00174,-4.61E-12
196.25073,-1.22E-12
196.50142,-2.06E-12
196.75167,-1.304E-11
197.00198,1.003E-11
197.25369,3.89E-12
197.50306,1.11E-12
197.75467,1.21E-12
198.00468,2.77E-12
198.25505,-5.6E-13
198.50576,-5.24E-12
198.75598,-4.9E-13
199.00608,8.8E-13
199.25073,5.14E-12
199.50708,5.13E-12
199.75166,-9.2E-13
200.00169,8E-14
200.25073,1E-13
200.50143,-1.16E-12
200.75165,5.8E-13
201.00169,8.29E-12
201.25073,4.52E-12
201.50144,6.59E-12
201.75136,-8.93E-12
202.00148,1.08E-12
202.2523,-7.6E-13
