Setup title,"I/V-t Sampling_3V_10S__Dark"
0.36427,-6.802E-10
0.37068,2.6922E-09
0.38364,-1.1601E-09
0.39067,2.659E-09
0.40363,-1.181E-09
0.41068,2.6448E-09
0.42504,-7.44E-11
0.43063,2.6031E-09
0.44279,-1.5347E-09
0.45068,2.6226E-09
0.4636,-1.2581E-09
0.47208,3.8256E-09
0.48359,-1.2954E-09
0.49084,2.7593E-09
0.50344,-1.3991E-09
0.51063,2.5572E-09
0.52247,-1.6772E-09
0.53067,2.6035E-09
0.54364,-1.2784E-09
0.55064,2.5801E-09
0.56372,-1.2384E-09
0.57067,2.6159E-09
0.5833,-1.5146E-09
0.59063,2.5519E-09
0.60229,-1.7904E-09
0.61081,2.7638E-09
0.62228,-1.8151E-09
0.63064,2.5781E-09
0.64376,-1.207E-09
0.65068,2.6206E-09
0.66226,-1.8532E-09
0.67067,2.6312E-09
0.68229,-1.8733E-09
0.69141,3.34E-09
0.70228,-1.9108E-09
0.71068,2.6609E-09
0.72256,-1.889E-09
0.73063,2.6219E-09
0.74229,-1.9465E-09
0.75079,2.8079E-09
0.76225,-1.9491E-09
0.77064,2.6527E-09
0.78246,-1.9351E-09
0.79068,2.7091E-09
0.80251,-1.9323E-09
0.81067,2.7179E-09
0.82229,-1.9692E-09
0.83166,3.4609E-09
0.84224,-2.0056E-09
0.85068,2.7592E-09
0.86295,-1.5892E-09
0.87068,2.7741E-09
0.88232,-2.0152E-09
0.89063,2.7453E-09
0.90225,-2.044E-09
0.91068,2.8029E-09
0.92248,-1.9883E-09
0.93071,2.8449E-09
0.94273,-1.8679E-09
0.95063,2.7817E-09
0.96225,-2.0559E-09
0.97206,3.4198E-09
0.98229,-2.0531E-09
0.99068,2.8587E-09
1.00341,-1.3642E-09
1.01068,2.8696E-09
1.02229,-2.0519E-09
1.03063,2.8455E-09
1.04229,-2.0597E-09
1.05088,3.0569E-09
1.06224,-2.0755E-09
1.07064,2.8774E-09
1.08169,-2.1729E-09
1.09067,2.9243E-09
1.10225,-2.0733E-09
1.11081,3.0469E-09
1.12225,-2.0677E-09
1.13068,2.9649E-09
1.14373,-9.872E-10
1.15068,2.9835E-09
1.16225,-2.0741E-09
1.17067,2.989E-09
1.18225,-2.0664E-09
1.19139,3.3035E-09
1.20224,-2.0628E-09
1.21068,3.0124E-09
1.22204,-2.1481E-09
1.23068,3.0177E-09
1.24229,-2.0208E-09
1.2509,3.1807E-09
1.26229,-2.0116E-09
1.27064,3.0214E-09
1.28241,-1.934E-09
1.29068,3.0519E-09
1.30093,-2.184E-09
1.31067,3.0628E-09
1.32094,-2.2023E-09
1.33192,3.1576E-09
1.34094,-2.2117E-09
1.35068,3.0809E-09
1.36185,-1.8288E-09
1.37063,3.0663E-09
1.3809,-2.2362E-09
1.39067,3.096E-09
1.40097,-2.2619E-09
1.41066,3.1077E-09
1.42094,-2.2753E-09
1.43068,3.1101E-09
1.44141,-2.2904E-09
1.45063,3.1123E-09
1.46064,-2.2168E-09
1.47203,2.9978E-09
1.48064,-2.2036E-09
1.49064,3.1513E-09
1.50093,-2.2786E-09
1.51068,3.2181E-09
1.52092,-2.2313E-09
1.53067,3.2333E-09
1.54063,-2.1785E-09
1.55093,3.2812E-09
1.56067,-2.1159E-09
1.57064,3.3128E-09
1.58196,-1.8623E-09
1.59063,3.3152E-09
1.60068,-2.1484E-09
1.6108,3.3449E-09
1.62064,-2.0236E-09
1.63068,3.4995E-09
1.64063,-1.9803E-09
1.65064,3.4772E-09
1.66087,-2.0582E-09
1.67063,3.4405E-09
1.68064,-2.0716E-09
1.6913,3.3854E-09
1.70063,-2.0817E-09
1.71068,3.4184E-09
1.722,-1.6504E-09
1.73067,3.4054E-09
1.74064,-2.1216E-09
1.75087,3.3875E-09
1.76067,-2.1329E-09
1.77092,3.3884E-09
1.78067,-2.1648E-09
1.79072,3.3675E-09
1.80092,-2.159E-09
1.81068,3.3614E-09
1.82068,-2.1737E-09
1.83194,2.824E-09
1.84063,-2.1946E-09
1.85068,3.3345E-09
1.86081,-2.1878E-09
1.87068,3.3276E-09
1.88068,-2.218E-09
1.89068,3.3192E-09
1.90063,-2.2237E-09
1.91064,3.3081E-09
1.92067,-2.225E-09
1.93068,3.2988E-09
1.94112,-2.1119E-09
1.95064,3.2971E-09
1.96064,-2.239E-09
1.97204,2.5378E-09
1.98064,-2.2508E-09
1.99085,3.2171E-09
