Setup title,"I/V-t Sampling_3V_10S__Dark"
8.81064,-2.5795E-09
8.82069,2.7736E-09
8.83164,-2.5767E-09
8.84068,2.7782E-09
8.85068,-2.6082E-09
8.86081,2.8252E-09
8.87068,-2.6193E-09
8.88063,2.7768E-09
8.89064,-2.6142E-09
8.90089,2.8365E-09
8.91068,-2.6158E-09
8.92067,2.8054E-09
8.93111,-2.6605E-09
8.94136,2.8043E-09
8.95064,-2.6246E-09
8.96064,2.8023E-09
8.972,-2.2906E-09
8.98064,2.8081E-09
8.99064,-2.6442E-09
9.00091,2.8512E-09
9.01068,-2.6493E-09
9.02067,2.8276E-09
9.03064,-2.6415E-09
9.04069,2.8454E-09
9.05094,-2.6645E-09
9.06064,2.8266E-09
9.07065,-2.6605E-09
9.0819,2.4359E-09
9.09064,-2.6698E-09
9.10068,2.8419E-09
9.11081,-2.6684E-09
9.12064,2.8393E-09
9.13068,-2.6672E-09
9.14064,2.8402E-09
9.15068,-2.6764E-09
9.16069,2.846E-09
9.17067,-2.6747E-09
9.1811,2.7744E-09
9.19137,-2.4986E-09
9.20063,2.8466E-09
9.21069,-2.6713E-09
9.22192,2.3092E-09
9.23068,-2.6722E-09
9.24086,2.8269E-09
9.25093,-2.6228E-09
9.26068,2.8399E-09
9.27075,-2.6607E-09
9.28067,2.8377E-09
9.29068,-2.6582E-09
9.30068,2.8367E-09
9.31068,-2.6618E-09
9.32068,2.8291E-09
9.33193,-1.9992E-09
9.34068,2.8316E-09
9.35069,-2.6445E-09
9.36079,2.8064E-09
9.37068,-2.6425E-09
9.38068,2.8189E-09
9.39084,-2.5986E-09
9.40068,2.8205E-09
9.41066,-2.6443E-09
9.42067,2.8116E-09
9.43114,-2.4542E-09
9.44131,2.5225E-09
9.45067,-2.6394E-09
9.46068,2.7961E-09
9.47209,-1.7288E-09
9.48068,2.7904E-09
9.49068,-2.6137E-09
9.50094,2.6853E-09
9.51068,-2.6078E-09
9.52068,2.77E-09
9.53068,-2.6007E-09
9.54069,2.7528E-09
9.55069,-2.5855E-09
9.56064,2.7676E-09
9.57069,-2.578E-09
9.58185,1.9919E-09
9.59068,-2.5707E-09
9.60068,2.7471E-09
9.61086,-2.4862E-09
9.62069,2.7266E-09
9.63069,-2.5531E-09
9.64062,2.7386E-09
9.65064,-2.5464E-09
9.66065,2.7181E-09
9.67063,-2.5448E-09
9.68065,2.703E-09
9.69133,-2.1053E-09
9.70069,2.6825E-09
9.71068,-2.5141E-09
9.72206,1.6668E-09
9.73068,-2.4913E-09
9.74067,2.6561E-09
9.75091,-2.3397E-09
9.76069,2.6377E-09
9.77069,-2.4606E-09
9.78068,2.6297E-09
9.79069,-2.4451E-09
9.8009,2.498E-09
9.81068,-2.4436E-09
9.82068,2.6061E-09
9.83187,-1.4983E-09
9.84065,2.5953E-09
9.85064,-2.4411E-09
9.86081,1.9048E-09
9.87064,-2.4145E-09
9.88068,2.549E-09
9.89084,-2.2861E-09
9.90068,2.5357E-09
9.91069,-2.3656E-09
9.92062,2.5612E-09
9.93069,-2.342E-09
9.94136,1.9992E-09
9.95064,-2.358E-09
9.96064,2.5071E-09
9.97208,-1.1743E-09
9.98064,2.491E-09
9.99068,-2.3044E-09
10.00094,2.263E-09
10.01064,-2.3009E-09
10.02068,2.4415E-09
10.03069,-2.2631E-09
10.04065,2.4372E-09
10.05086,-2.1162E-09
10.06068,2.3981E-09
10.07064,-2.255E-09
10.08189,1.3959E-09
10.09069,-2.1943E-09
10.10064,2.3984E-09
10.11081,-1.4403E-09
10.12069,2.3411E-09
10.13068,-2.1686E-09
