Setup title,"C-V Sweep_dark_-3_3_1K_100K_1M"
-2.86,7.83829E-13
-2.85,5.24983E-13
-2.84,1.57765E-13
-2.83,7.36748E-14
-2.82,4.07538E-13
-2.81,1.09223E-13
-2.8,1.06436E-13
-2.79,5.12797E-13
-2.78,6.10953E-13
-2.77,1.31255E-13
-2.76,7.10494E-13
-2.75,6.24207E-13
-2.74,3.22069E-13
-2.73,-1.15395E-14
-2.72,6.51405E-13
-2.71,1.64913E-13
-2.7,1.27086E-13
-2.69,2.8721E-13
-2.68,5.11978E-13
-2.67,4.36341E-13
-2.66,4.04144E-13
-2.65,6.70024E-13
-2.64,5.32539E-13
-2.63,2.47346E-13
-2.62,6.92858E-13
-2.61,4.6734E-13
-2.6,-1.15254E-13
-2.59,6.97847E-14
-2.58,4.59705E-13
-2.57,-1.59497E-13
-2.56,2.20807E-13
-2.55,7.48883E-13
-2.54,5.38322E-13
-2.53,3.99986E-13
-2.52,3.86984E-13
-2.51,6.78944E-13
-2.5,1.56342E-13
-2.49,4.24677E-14
-2.48,2.77727E-13
-2.47,3.43721E-13
-2.46,1.17723E-13
-2.45,5.08366E-13
-2.44,7.16758E-13
-2.43,4.6914E-13
-2.42,5.76192E-13
-2.41,7.36679E-13
-2.4,5.73268E-13
-2.39,1.13779E-13
-2.38,2.77966E-14
-2.37,-3.05903E-13
-2.36,4.12286E-13
-2.35,1.77399E-13
-2.34,1.28691E-13
-2.33,5.18142E-13
-2.32,5.43062E-13
-2.31,4.49906E-13
-2.3,8.99813E-13
-2.29,5.37976E-13
-2.28,2.24929E-13
-2.27,1.88433E-13
-2.26,2.64355E-13
-2.25,2.23E-13
-2.24,4.55944E-14
-2.23,2.63368E-13
-2.22,5.67692E-13
-2.21,9.24866E-14
-2.2,4.12397E-13
-2.19,6.74898E-13
-2.18,4.49632E-13
-2.17,2.67963E-13
-2.16,4.06966E-13
-2.15,2.73028E-13
-2.14,3.94652E-14
-2.13,2.84526E-13
-2.12,5.25637E-13
-2.11,4.68217E-13
-2.1,2.56156E-13
-2.09,5.54003E-13
-2.08,5.73612E-13
-2.07,1.68577E-13
-2.06,1.146E-13
-2.05,6.38407E-13
-2.04,3.34918E-14
-2.03,5.14763E-14
-2.02,2.43481E-13
-2.01,4.6486E-13
-2,1.39572E-13
-1.99,4.85284E-13
-1.98,6.8416E-13
-1.97,5.46166E-13
-1.96,4.07947E-13
-1.95,6.92161E-13
-1.94,4.45739E-13
-1.93,-1.84571E-13
-1.92,1.9428E-13
-1.91,3.86439E-13
-1.9,-3.74737E-14
-1.89,2.21499E-13
-1.88,6.67486E-13
-1.87,5.40345E-13
-1.86,4.76597E-13
-1.85,7.21756E-13
-1.84,6.23864E-13
-1.83,2.05484E-13
-1.82,2.13948E-13
-1.81,3.82138E-13
-1.8,3.82503E-16
-1.79,2.21662E-13
-1.78,4.00699E-13
-1.77,8.07704E-13
-1.76,5.50152E-13
-1.75,7.83978E-13
-1.74,7.77159E-13
-1.73,4.48808E-13
-1.72,1.01349E-13
-1.71,1.12541E-13
-1.7,1.47868E-13
-1.69,7.74498E-15
-1.68,2.86324E-13
-1.67,5.39616E-13
-1.66,1.46811E-13
-1.65,3.97916E-13
-1.64,8.09063E-13
-1.63,5.09934E-13
-1.62,3.44701E-14
-1.61,1.75687E-13
-1.6,2.60186E-13
-1.59,-4.69581E-14
