Setup title,"C-V Sweep_dark_-3_3_1K_100K_1M"
0.06,1.84518E-13
0.07,2.78749E-13
0.08,2.72451E-13
0.09,2.78379E-13
0.1,2.84254E-13
0.11,2.96236E-13
0.12,2.61456E-13
0.13,2.52215E-13
0.14,2.58758E-13
0.15,2.26792E-13
0.16,2.2863E-13
0.17,2.91313E-13
0.18,3.12601E-13
0.19,2.91322E-13
0.2,2.81623E-13
0.21,2.83302E-13
0.22,2.93206E-13
0.23,2.22438E-13
0.24,2.60349E-13
0.25,3.06591E-13
0.26,2.6827E-13
0.27,2.71445E-13
0.28,2.75676E-13
0.29,2.73232E-13
0.3,2.61535E-13
0.31,2.48121E-13
0.32,2.69693E-13
0.33,2.70029E-13
0.34,2.48247E-13
0.35,2.06088E-13
0.36,2.80536E-13
0.37,2.47634E-13
0.38,2.89029E-13
0.39,2.59242E-13
0.4,2.2863E-13
0.41,2.73573E-13
0.42,2.48231E-13
0.43,2.42718E-13
0.44,2.70117E-13
0.45,2.82803E-13
0.46,2.8223E-13
0.47,2.16952E-13
0.48,2.50078E-13
0.49,3.02699E-13
0.5,2.26505E-13
0.51,2.46963E-13
0.52,2.83907E-13
0.53,2.66331E-13
0.54,2.76046E-13
0.55,2.73598E-13
0.56,2.73739E-13
0.57,2.10413E-13
0.58,2.44981E-13
0.59,3.03752E-13
0.6,2.67837E-13
0.61,2.63707E-13
0.62,2.76694E-13
0.63,2.44854E-13
0.64,2.57613E-13
0.65,2.97017E-13
0.66,2.49103E-13
0.67,2.25515E-13
0.68,2.866E-13
0.69,2.69573E-13
0.7,2.66022E-13
0.71,2.93671E-13
0.72,2.49974E-13
0.73,2.55793E-13
0.74,2.99373E-13
0.75,2.66534E-13
0.76,2.76706E-13
0.77,2.61585E-13
0.78,2.6569E-13
0.79,2.87515E-13
0.8,3.01757E-13
0.81,2.71547E-13
0.82,2.95072E-13
0.83,2.12601E-13
0.84,2.31213E-13
0.85,2.77355E-13
0.86,2.44232E-13
0.87,2.90686E-13
0.88,3.05279E-13
0.89,2.56741E-13
0.9,2.2032E-13
0.91,2.84417E-13
0.92,2.73589E-13
0.93,3.18108E-13
0.94,2.45952E-13
0.95,2.75973E-13
0.96,2.64172E-13
0.97,2.74149E-13
0.98,2.7233E-13
0.99,2.64981E-13
1,3.31885E-13
1.01,2.27966E-13
1.02,2.71774E-13
1.03,2.72773E-13
1.04,2.41424E-13
1.05,2.58553E-13
1.06,2.34982E-13
1.07,2.42695E-13
1.08,2.92012E-13
1.09,2.54433E-13
1.1,2.89852E-13
1.11,2.65376E-13
1.12,2.65253E-13
1.13,2.77519E-13
1.14,2.40279E-13
1.15,2.91426E-13
1.16,2.30493E-13
1.17,2.62452E-13
1.18,2.82481E-13
1.19,3.24654E-13
1.2,2.93896E-13
1.21,2.61689E-13
1.22,2.58296E-13
1.23,2.18973E-13
1.24,2.88897E-13
1.25,2.77028E-13
1.26,2.54714E-13
1.27,2.72931E-13
1.28,2.63704E-13
1.29,2.73231E-13
1.3,2.97077E-13
1.31,2.83925E-13
1.32,2.5578E-13
1.33,2.84706E-13
1.34,2.343E-13
1.35,2.76122E-13
1.36,2.58281E-13
1.37,2.93801E-13
1.38,2.29363E-13
1.39,2.38806E-13
1.4,2.38177E-13
1.41,2.3527E-13
1.42,2.7331E-13
1.43,2.67432E-13
1.44,3.03234E-13
1.45,2.69459E-13
1.46,2.67448E-13
1.47,2.65127E-13
1.48,2.51972E-13
1.49,2.84558E-13
1.5,2.82006E-13
1.51,2.72263E-13
1.52,2.77052E-13
1.53,2.97282E-13
1.54,2.4843E-13
1.55,2.60222E-13
1.56,2.95759E-13
1.57,2.87097E-13
1.58,2.54916E-13
1.59,2.65665E-13
1.6,2.78499E-13
1.61,2.40934E-13
1.62,2.78493E-13
1.63,2.73751E-13
1.64,2.43536E-13
1.65,2.52021E-13
1.66,2.68269E-13
1.67,2.90263E-13
1.68,2.99426E-13
1.69,2.63976E-13
1.7,2.64143E-13
1.71,2.51369E-13
1.72,2.65018E-13
1.73,2.87825E-13
1.74,2.5799E-13
1.75,2.9145E-13
1.76,2.76223E-13
1.77,2.75612E-13
1.78,2.74869E-13
1.79,2.96166E-13
1.8,2.80144E-13
1.81,2.62639E-13
1.82,2.72065E-13
1.83,2.77276E-13
1.84,2.45385E-13
1.85,3.00096E-13
1.86,2.40168E-13
1.87,2.554E-13
1.88,2.65399E-13
1.89,2.52996E-13
1.9,2.20842E-13
1.91,2.31973E-13
1.92,2.41072E-13
1.93,2.4414E-13
1.94,2.36289E-13
1.95,2.93E-13
1.96,2.83072E-13
1.97,2.56064E-13
1.98,2.73999E-13
1.99,3.04337E-13
2,2.56744E-13
2.01,2.54183E-13
2.02,2.5197E-13
2.03,2.67116E-13
2.04,2.82151E-13
2.05,2.33679E-13
2.06,2.13841E-13
2.07,2.71602E-13
2.08,2.79005E-13
2.09,2.48469E-13
2.1,2.53396E-13
2.11,2.88027E-13
2.12,2.35545E-13
2.13,2.36187E-13
2.14,2.93817E-13
2.15,2.62341E-13
2.16,3.23844E-13
2.17,3.27825E-13
2.18,2.66411E-13
2.19,2.87976E-13
2.2,3.10604E-13
2.21,2.81459E-13
2.22,2.69051E-13
2.23,2.91173E-13
2.24,3.01744E-13
2.25,3.13653E-13
2.26,2.8582E-13
2.27,2.85777E-13
2.28,2.52832E-13
2.29,2.66484E-13
2.3,3.29182E-13
2.31,2.50708E-13
2.32,2.85808E-13
2.33,3.28549E-13
2.34,2.24693E-13
2.35,2.46193E-13
2.36,2.59006E-13
2.37,2.62849E-13
2.38,2.90974E-13
2.39,2.97497E-13
2.4,2.21196E-13
2.41,2.72277E-13
2.42,3.00289E-13
2.43,2.40503E-13
2.44,2.69459E-13
2.45,2.70012E-13
2.46,2.40431E-13
2.47,2.57042E-13
2.48,2.82098E-13
2.49,2.47129E-13
2.5,2.62152E-13
2.51,2.6733E-13
2.52,2.44772E-13
2.53,2.44279E-13
2.54,2.96409E-13
2.55,3.06383E-13
2.56,2.06268E-13
2.57,2.82898E-13
2.58,2.71031E-13
2.59,2.53974E-13
2.6,2.68687E-13
2.61,2.48953E-13
2.62,2.65842E-13
2.63,2.37285E-13
2.64,2.73792E-13
2.65,2.7887E-13
2.66,2.77882E-13
2.67,2.57721E-13
2.68,2.75307E-13
2.69,2.67415E-13
2.7,2.38641E-13
2.71,2.98652E-13
2.72,2.59473E-13
2.73,2.66484E-13
2.74,2.92027E-13
2.75,2.49063E-13
2.76,3.00897E-13
2.77,2.4826E-13
2.78,2.66256E-13
2.79,2.20361E-13
2.8,2.30963E-13
2.81,2.45007E-13
2.82,2.93238E-13
2.83,2.67947E-13
2.84,2.40749E-13
2.85,2.80087E-13
2.86,2.19927E-13
2.87,2.61696E-13
2.88,2.72045E-13
2.89,2.35008E-13
2.9,2.36295E-13
2.91,2.85073E-13
2.92,2.6427E-13
2.93,2.2875E-13
2.94,2.71419E-13
2.95,2.55334E-13
2.96,2.4636E-13
2.97,2.74471E-13
2.98,2.50771E-13
2.99,2.6162E-13
3,2.32876E-13
-3,1.9719E-13
-2.99,2.05014E-13
-2.98,2.01773E-13
-2.97,2.07329E-13
-2.96,2.10516E-13
-2.95,2.07303E-13
-2.94,2.06104E-13
-2.93,2.0792E-13
-2.92,2.01627E-13
-2.91,2.07628E-13
-2.9,2.05284E-13
-2.89,1.97229E-13
-2.88,1.99844E-13
-2.87,1.99243E-13
-2.86,1.9787E-13
-2.85,2.02032E-13
-2.84,1.9593E-13
-2.83,2.15274E-13
-2.82,2.11992E-13
-2.81,2.03334E-13
-2.8,1.99869E-13
-2.79,2.02652E-13
-2.78,2.02556E-13
-2.77,2.04999E-13
-2.76,2.03881E-13
-2.75,1.93592E-13
-2.74,1.94746E-13
-2.73,2.02335E-13
-2.72,1.95518E-13
-2.71,2.04333E-13
-2.7,2.00507E-13
-2.69,2.04612E-13
-2.68,1.96118E-13
-2.67,2.03041E-13
-2.66,2.00106E-13
-2.65,2.06475E-13
-2.64,2.00273E-13
-2.63,2.05872E-13
-2.62,2.0586E-13
-2.61,2.00764E-13
-2.6,2.00935E-13
-2.59,1.94066E-13
-2.58,2.00331E-13
-2.57,1.99549E-13
-2.56,2.12398E-13
-2.55,2.02487E-13
-2.54,2.08034E-13
-2.53,2.03208E-13
-2.52,1.96464E-13
-2.51,1.9838E-13
-2.5,2.02978E-13
-2.49,2.02621E-13
-2.48,2.03454E-13
-2.47,2.03372E-13
-2.46,2.00602E-13
-2.45,2.09147E-13
-2.44,2.02971E-13
-2.43,2.05014E-13
-2.42,2.00302E-13
-2.41,2.00672E-13
-2.4,1.98933E-13
-2.39,1.9794E-13
-2.38,1.9991E-13
-2.37,1.98449E-13
-2.36,2.05571E-13
-2.35,2.06843E-13
-2.34,2.04378E-13
-2.33,2.06994E-13
-2.32,2.00589E-13
-2.31,2.03521E-13
-2.3,2.06089E-13
-2.29,2.0208E-13
-2.28,2.04796E-13
-2.27,2.07455E-13
-2.26,1.98971E-13
-2.25,2.02035E-13
-2.24,2.03647E-13
-2.23,2.06899E-13
-2.22,2.01975E-13
-2.21,2.01352E-13
-2.2,1.93664E-13
-2.19,2.07703E-13
-2.18,2.09963E-13
-2.17,2.10383E-13
-2.16,2.00126E-13
-2.15,2.04065E-13
-2.14,2.02791E-13
-2.13,2.04473E-13
-2.12,2.06747E-13
-2.11,2.00605E-13
-2.1,2.02854E-13
-2.09,2.02262E-13
-2.08,2.07775E-13
-2.07,2.03866E-13
-2.06,2.05121E-13
-2.05,2.12071E-13
-2.04,1.99062E-13
-2.03,2.10488E-13
-2.02,2.07875E-13
-2.01,1.96115E-13
-2,2.09048E-13
-1.99,2.04561E-13
-1.98,2.04286E-13
-1.97,2.03591E-13
-1.96,2.02891E-13
-1.95,2.04224E-13
-1.94,2.06494E-13
-1.93,1.99435E-13
-1.92,2.05462E-13
-1.91,2.04182E-13
-1.9,2.03711E-13
-1.89,2.05501E-13
-1.88,1.95305E-13
-1.87,2.03328E-13
-1.86,2.04104E-13
-1.85,2.0545E-13
-1.84,2.0496E-13
-1.83,2.10715E-13
-1.82,2.03062E-13
-1.81,2.08248E-13
-1.8,2.04999E-13
-1.79,2.12298E-13
-1.78,2.05264E-13
-1.77,2.01788E-13
-1.76,2.04366E-13
-1.75,2.03853E-13
-1.74,1.98493E-13
-1.73,2.04055E-13
-1.72,2.0828E-13
-1.71,2.02778E-13
-1.7,2.03385E-13
-1.69,2.00555E-13
-1.68,2.0669E-13
-1.67,1.9732E-13
-1.66,1.99315E-13
-1.65,2.04023E-13
-1.64,2.02712E-13
-1.63,2.00507E-13
-1.62,2.05947E-13
-1.61,2.07432E-13
-1.6,2.1118E-13
-1.59,2.10121E-13
-1.58,2.06826E-13
-1.57,2.05937E-13
-1.56,2.06199E-13
-1.55,2.02525E-13
-1.54,2.03818E-13
-1.53,2.04835E-13
-1.52,2.08752E-13
-1.51,2.09796E-13
-1.5,2.04837E-13
-1.49,2.11946E-13
-1.48,2.04786E-13
-1.47,2.02168E-13
-1.46,2.00736E-13
-1.45,1.98961E-13
-1.44,2.07203E-13
-1.43,2.0991E-13
-1.42,2.03784E-13
-1.41,1.96571E-13
-1.4,1.99376E-13
-1.39,2.02403E-13
-1.38,2.02029E-13
-1.37,2.08337E-13
-1.36,1.9941E-13
-1.35,2.00615E-13
-1.34,2.02224E-13
-1.33,2.01588E-13
-1.32,2.03954E-13
-1.31,2.05877E-13
-1.3,2.03749E-13
-1.29,2.05733E-13
-1.28,2.09304E-13
-1.27,2.0633E-13
-1.26,2.02882E-13
-1.25,2.07648E-13
-1.24,2.05602E-13
-1.23,2.05207E-13
-1.22,2.10597E-13
-1.21,2.04174E-13
-1.2,2.00829E-13
-1.19,2.00824E-13
-1.18,2.01229E-13
-1.17,2.07942E-13
-1.16,1.94857E-13
-1.15,2.05258E-13
-1.14,2.02345E-13
-1.13,2.07481E-13
-1.12,2.10969E-13
-1.11,2.0232E-13
-1.1,1.97653E-13
-1.09,2.02512E-13
-1.08,2.12973E-13
-1.07,1.98863E-13
-1.06,2.11984E-13
-1.05,2.10112E-13
-1.04,2.02221E-13
-1.03,2.02993E-13
-1.02,2.06918E-13
-1.01,2.01381E-13
-1,2.07736E-13
-0.99,2.06019E-13
-0.98,2.06019E-13
-0.97,2.01925E-13
-0.96,2.04723E-13
-0.95,2.02543E-13
-0.94,2.06209E-13
-0.93,2.10308E-13
-0.92,2.0791E-13
-0.91,2.04204E-13
-0.9,2.00725E-13
-0.89,2.00005E-13
-0.88,2.00514E-13
-0.87,2.03866E-13
-0.86,1.98233E-13
-0.85,2.02484E-13
-0.84,2.03469E-13
-0.83,2.0866E-13
-0.82,1.96128E-13
-0.81,2.04038E-13
-0.8,2.03935E-13
-0.79,1.99552E-13
-0.78,2.08125E-13
-0.77,2.00217E-13
-0.76,2.02542E-13
-0.75,2.08797E-13
-0.74,2.08986E-13
-0.73,2.01491E-13
-0.72,2.03255E-13
-0.71,2.11348E-13
-0.7,2.04083E-13
-0.69,2.11083E-13
-0.68,2.01864E-13
-0.67,2.04255E-13
-0.66,1.93946E-13
-0.65,2.06971E-13
-0.64,2.06061E-13
-0.63,2.00346E-13
-0.62,2.08319E-13
-0.61,2.08369E-13
-0.6,1.99828E-13
-0.59,2.08164E-13
-0.58,2.02358E-13
-0.57,2.08207E-13
-0.56,2.00441E-13
-0.55,2.09679E-13
-0.54,2.02408E-13
-0.53,2.06707E-13
-0.52,2.02212E-13
-0.51,2.08771E-13
-0.5,2.07927E-13
-0.49,2.03882E-13
-0.48,2.03183E-13
-0.47,2.14972E-13
-0.46,1.96306E-13
-0.45,2.02673E-13
-0.44,2.10258E-13
-0.43,2.02972E-13
-0.42,2.0016E-13
-0.41,2.05402E-13
-0.4,2.05299E-13
-0.39,2.17213E-13
-0.38,2.08742E-13
-0.37,2.06113E-13
-0.36,2.07063E-13
-0.35,2.02889E-13
-0.34,2.01906E-13
-0.33,2.02889E-13
-0.32,2.01742E-13
-0.31,1.95509E-13
-0.3,2.08261E-13
-0.29,1.97975E-13
-0.28,2.10696E-13
-0.27,2.05257E-13
-0.26,2.0088E-13
-0.25,1.99445E-13
-0.24,2.09551E-13
-0.23,2.02118E-13
-0.22,1.99503E-13
-0.21,2.00814E-13
-0.2,2.0245E-13
-0.19,2.1014E-13
-0.18,1.99752E-13
-0.17,2.01317E-13
-0.16,2.06437E-13
-0.15,2.07139E-13
-0.14,2.00194E-13
-0.13,2.04596E-13
-0.12,2.06124E-13
-0.11,2.07958E-13
-0.1,2.09194E-13
-0.09,2.03904E-13
-0.08,2.08296E-13
-0.07,2.04273E-13
-0.06,2.07679E-13
-0.05,1.95062E-13
-0.04,1.98997E-13
-0.03,2.03319E-13
-0.02,2.09629E-13
-0.01,1.9861E-13
0,2.10113E-13
0.01,1.96074E-13
0.02,2.06776E-13
0.03,2.04139E-13
0.04,1.98509E-13
0.05,2.09143E-13
0.06,1.98953E-13
0.07,2.01197E-13
0.08,2.03844E-13
0.09,2.05204E-13
0.1,1.99553E-13
0.11,2.08022E-13
0.12,2.03305E-13
0.13,2.03325E-13
0.14,1.99686E-13
0.15,2.07152E-13
0.16,2.04291E-13
0.17,1.99332E-13
0.18,2.05757E-13
0.19,2.06478E-13
0.2,1.99901E-13
0.21,2.07332E-13
0.22,2.08901E-13
0.23,2.00751E-13
0.24,2.1543E-13
0.25,1.96264E-13
0.26,1.96789E-13
0.27,2.10772E-13
0.28,2.04173E-13
0.29,2.15991E-13
0.3,2.10337E-13
0.31,2.01675E-13
0.32,1.99876E-13
0.33,2.08158E-13
0.34,2.03471E-13
0.35,2.03281E-13
0.36,2.0564E-13
0.37,2.00555E-13
0.38,2.05454E-13
0.39,2.04803E-13
0.4,2.08007E-13
0.41,1.98072E-13
0.42,2.02542E-13
0.43,2.12578E-13
0.44,2.03957E-13
0.45,2.12085E-13
0.46,2.06734E-13
0.47,1.99935E-13
0.48,2.09593E-13
0.49,2.06665E-13
0.5,2.02667E-13
0.51,2.0146E-13
0.52,1.99028E-13
0.53,2.09226E-13
0.54,2.09378E-13
0.55,2.05719E-13
0.56,2.0176E-13
0.57,2.0187E-13
0.58,2.02528E-13
0.59,2.0386E-13
0.6,1.98652E-13
0.61,2.05897E-13
0.62,2.06255E-13
0.63,2.03569E-13
0.64,1.96428E-13
0.65,1.98047E-13
0.66,2.07288E-13
0.67,2.08147E-13
0.68,1.99577E-13
0.69,1.98847E-13
0.7,2.10272E-13
0.71,2.04997E-13
0.72,2.08601E-13
0.73,2.06143E-13
0.74,1.98936E-13
0.75,2.0628E-13
0.76,2.04195E-13
0.77,2.00849E-13
0.78,2.01251E-13
0.79,2.02503E-13
0.8,2.05473E-13
0.81,2.04024E-13
0.82,2.07326E-13
0.83,2.04562E-13
0.84,1.98652E-13
0.85,2.0719E-13
0.86,2.07174E-13
0.87,2.01937E-13
0.88,2.04261E-13
0.89,2.10649E-13
0.9,2.00807E-13
0.91,1.97652E-13
0.92,2.0498E-13
0.93,2.01295E-13
0.94,2.00759E-13
0.95,2.02848E-13
0.96,2.12359E-13
0.97,2.07243E-13
0.98,2.05529E-13
0.99,2.03203E-13
1,2.10725E-13
1.01,2.02057E-13
1.02,1.95322E-13
1.03,2.04381E-13
1.04,1.99366E-13
1.05,2.06773E-13
1.06,1.98639E-13
1.07,2.06347E-13
1.08,2.01482E-13
1.09,1.98111E-13
1.1,2.09583E-13
1.11,2.04398E-13
1.12,2.08104E-13
1.13,2.00081E-13
1.14,2.01343E-13
1.15,2.0318E-13
1.16,2.04164E-13
1.17,2.07192E-13
1.18,1.98778E-13
1.19,2.00972E-13
1.2,2.0428E-13
1.21,2.06687E-13
1.22,2.01543E-13
1.23,1.96584E-13
1.24,2.05393E-13
1.25,2.05191E-13
1.26,2.07038E-13
1.27,2.06304E-13
1.28,2.00577E-13
1.29,2.03436E-13
1.3,2.00934E-13
1.31,2.06016E-13
1.32,2.07758E-13
1.33,2.04645E-13
1.34,2.04607E-13
1.35,1.95315E-13
1.36,2.04012E-13
1.37,2.09321E-13
1.38,2.01273E-13
1.39,1.95741E-13
1.4,2.01261E-13
1.41,2.02772E-13
1.42,2.03839E-13
1.43,2.13969E-13
1.44,2.10026E-13
1.45,2.10238E-13
1.46,2.0218E-13
1.47,2.03849E-13
1.48,2.01118E-13
1.49,1.99882E-13
1.5,1.99448E-13
1.51,2.05254E-13
1.52,2.11129E-13
1.53,2.02779E-13
1.54,2.06264E-13
1.55,2.04856E-13
1.56,2.07752E-13
1.57,2.03441E-13
1.58,2.01049E-13
1.59,2.07395E-13
1.6,2.03769E-13
1.61,2.0583E-13
1.62,2.0274E-13
1.63,2.10144E-13
1.64,1.95135E-13
1.65,1.97175E-13
1.66,2.05124E-13
1.67,2.06589E-13
1.68,2.05109E-13
1.69,2.04533E-13
1.7,2.12553E-13
1.71,1.99139E-13
1.72,2.08138E-13
1.73,2.03076E-13
1.74,2.02819E-13
1.75,2.05725E-13
1.76,1.97435E-13
1.77,2.01419E-13
1.78,1.98442E-13
1.79,2.02926E-13
1.8,2.07382E-13
1.81,2.04496E-13
1.82,2.12177E-13
1.83,2.02563E-13
1.84,2.10334E-13
1.85,2.13675E-13
1.86,2.00318E-13
1.87,2.04819E-13
1.88,1.97737E-13
1.89,1.99157E-13
1.9,1.93739E-13
1.91,2.02493E-13
1.92,2.04578E-13
1.93,2.07155E-13
1.94,2.04084E-13
1.95,1.93564E-13
1.96,2.02544E-13
1.97,1.98899E-13
1.98,2.06342E-13
1.99,2.02101E-13
2,1.9796E-13
2.01,2.09157E-13
2.02,1.97924E-13
2.03,2.05897E-13
2.04,2.08392E-13
2.05,2.06983E-13
2.06,2.04268E-13
2.07,2.09087E-13
2.08,2.05872E-13
2.09,1.99385E-13
2.1,2.09526E-13
2.11,2.05559E-13
2.12,2.10302E-13
2.13,2.0201E-13
2.14,2.02146E-13
2.15,2.01786E-13
2.16,2.03926E-13
2.17,2.00865E-13
2.18,2.05046E-13
2.19,2.02525E-13
2.2,2.06257E-13
2.21,1.90119E-13
2.22,2.04445E-13
2.23,2.05371E-13
2.24,1.99022E-13
2.25,2.06936E-13
2.26,2.11291E-13
2.27,2.09768E-13
2.28,2.00277E-13
2.29,2.05908E-13
2.3,1.97507E-13
2.31,2.00514E-13
2.32,1.95783E-13
2.33,2.06994E-13
2.34,2.01532E-13
2.35,1.97301E-13
2.36,2.03452E-13
2.37,1.97211E-13
2.38,2.0935E-13
2.39,2.08521E-13
2.4,2.0485E-13
2.41,2.09991E-13
2.42,2.01223E-13
2.43,2.08752E-13
2.44,2.03533E-13
2.45,1.99476E-13
2.46,2.04271E-13
2.47,1.96075E-13
2.48,2.00074E-13
2.49,2.10478E-13
2.5,2.15079E-13
2.51,1.97481E-13
2.52,2.01944E-13
2.53,2.04398E-13
2.54,2.07107E-13
2.55,2.07215E-13
2.56,2.00069E-13
2.57,2.00546E-13
2.58,1.99116E-13
2.59,2.02882E-13
2.6,2.05554E-13
2.61,2.09382E-13
2.62,2.03425E-13
2.63,2.10497E-13
2.64,2.03727E-13
2.65,2.03505E-13
2.66,2.08375E-13
2.67,2.04024E-13
2.68,2.05857E-13
2.69,2.04638E-13
2.7,2.07879E-13
2.71,2.02127E-13
2.72,2.01975E-13
2.73,1.98355E-13
2.74,2.0442E-13
2.75,2.07724E-13
2.76,2.06784E-13
2.77,2.06588E-13
2.78,2.08176E-13
2.79,2.02003E-13
2.8,1.99138E-13
2.81,2.06373E-13
2.82,1.98538E-13
2.83,2.00378E-13
2.84,2.0311E-13
2.85,2.01062E-13
2.86,2.0563E-13
2.87,2.05707E-13
2.88,2.01892E-13
2.89,1.99745E-13
2.9,2.0132E-13
2.91,2.06646E-13
2.92,2.04274E-13
2.93,2.06095E-13
2.94,2.01283E-13
2.95,2.05639E-13
2.96,2.03958E-13
2.97,2.03379E-13
2.98,2.04273E-13
2.99,2.02608E-13
3,2.04362E-13
