Setup title,"I/V-t Sampling_250s_dark_-3V"
0.50065,-0.0005578
0.51068,-0.00055784
0.52068,-0.00055744
0.53069,-0.00055692
0.54154,-0.00055761
0.55068,-0.00055844
0.56068,-0.00055804
0.57216,-0.00055842
0.58068,-0.00055697
0.59068,-0.00055839
0.60081,-0.00055806
0.61065,-0.00055734
0.6207,-0.0005576
0.63067,-0.0005582
0.64065,-0.00055727
0.6509,-0.00055813
0.66064,-0.0005583
0.67063,-0.00055905
0.68177,-0.00055827
0.69068,-0.00055911
0.70068,-0.00055852
0.71081,-0.00055803
0.72065,-0.00055793
0.73065,-0.00055891
0.74067,-0.00055795
0.75069,-0.0005587
0.7607,-0.0005578
0.77068,-0.00055624
0.78069,-0.00055635
0.79154,-0.00055663
0.80063,-0.00055654
0.81065,-0.00055692
0.82216,-0.00055701
0.83067,-0.00055714
0.84069,-0.00055677
0.85081,-0.00055704
0.86069,-0.00055697
0.87069,-0.00055766
0.88067,-0.00055707
0.89065,-0.00055757
0.90094,-0.00055729
0.91068,-0.00055782
0.92068,-0.00055714
0.93206,-0.00055709
0.94068,-0.0005567
0.95064,-0.00055772
0.96085,-0.00055672
0.97069,-0.00055847
0.98069,-0.00055738
0.99063,-0.0005574
1.00127,-0.00055793
1.01067,-0.00055786
1.02064,-0.00055771
1.03069,-0.00055788
1.04152,-0.00055749
1.05064,-0.00055747
1.06068,-0.00055896
1.07217,-0.00055919
1.08064,-0.00055865
1.09064,-0.00055698
1.10083,-0.00055819
1.11065,-0.00055862
1.12069,-0.00055862
1.13067,-0.00055906
1.14069,-0.00055898
1.15069,-0.00055896
1.16069,-0.00055905
1.17065,-0.00055961
1.18204,-0.00055957
1.19067,-0.0005597
1.20065,-0.00055886
1.2108,-0.00055896
1.22068,-0.00055914
1.23069,-0.00055968
1.24067,-0.00055886
1.25064,-0.00055962
1.26072,-0.00055942
1.27067,-0.00055996
1.28064,-0.00055903
1.29126,-0.00055965
1.30063,-0.00055874
1.31069,-0.0005594
1.32208,-0.00055947
1.33064,-0.00055869
1.34064,-0.00055895
1.35081,-0.0005598
1.36071,-0.00055881
1.37069,-0.00055919
1.38067,-0.00055904
1.39065,-0.00055903
1.40088,-0.00055898
1.41064,-0.00055972
1.42068,-0.00055915
1.43182,-0.00055939
1.44064,-0.00055842
1.45068,-0.00055951
1.46082,-0.0005591
1.47065,-0.00055936
1.48069,-0.00055895
1.49067,-0.00055976
1.50065,-0.00055883
1.51074,-0.0005596
1.52067,-0.00055887
1.53069,-0.00055942
1.54128,-0.00055856
1.55064,-0.00055945
1.56064,-0.00055879
1.5721,-0.00055967
1.58068,-0.00055928
1.59068,-0.00055922
1.60085,-0.00055912
1.61069,-0.00055934
1.62065,-0.00055915
1.63067,-0.00055955
1.64069,-0.00055948
1.6509,-0.00055952
1.66068,-0.00055871
1.67064,-0.0005594
1.6818,-0.00055885
1.69068,-0.00055923
1.70069,-0.00055881
1.71079,-0.00055913
1.72069,-0.00055882
1.73068,-0.00055907
1.74068,-0.00055968
1.75068,-0.00055957
1.7609,-0.00055884
1.77067,-0.00055994
1.78069,-0.00055884
1.7913,-0.00055964
1.80069,-0.00055912
1.81064,-0.00055965
1.82213,-0.00055927
1.83063,-0.00056009
1.84069,-0.0005592
1.85082,-0.00056068
1.86065,-0.00055901
1.87068,-0.00055967
1.88068,-0.00055887
1.89064,-0.00055963
1.90069,-0.00055904
1.91064,-0.00055965
1.92064,-0.00055955
1.93205,-0.00055961
1.94064,-0.00055929
1.95068,-0.00055972
1.96082,-0.00055929
1.97069,-0.00055952
1.98064,-0.00055921
1.99064,-0.0005596
2.00121,-0.00055948
2.0107,-0.00056011
2.02067,-0.00055876
2.03068,-0.00055967
2.04149,-0.00055923
2.05063,-0.00055963
2.06065,-0.00055916
2.07211,-0.00055967
2.08068,-0.00055898
2.09068,-0.00055954
2.10086,-0.0005597
2.11067,-0.00055979
2.12069,-0.00055957
2.13063,-0.00055982
2.14068,-0.00055925
2.15093,-0.00056002
2.16063,-0.0005595
2.17064,-0.00055955
2.18198,-0.00055928
2.19067,-0.00055982
2.20068,-0.00055973
2.21081,-0.00056002
2.22064,-0.00055947
2.23065,-0.00056008
2.24067,-0.00055948
2.25065,-0.00055982
2.26092,-0.00055954
2.27068,-0.00056055
2.28064,-0.00055947
2.29153,-0.00055985
2.30067,-0.0005598
2.31068,-0.00056025
2.32214,-0.0005597
2.33063,-0.00056055
2.34068,-0.0005599
2.35081,-0.00056043
2.36072,-0.00055969
2.37065,-0.00056023
2.38067,-0.00055994
2.39065,-0.00056093
2.40092,-0.00056038
2.41068,-0.00056015
2.42068,-0.00056017
2.43197,-0.00056055
2.44067,-0.00056064
2.45068,-0.00056108
2.46078,-0.00056012
2.47072,-0.00056038
2.48069,-0.00055979
2.49067,-0.00056037
2.50065,-0.00056011
2.51068,-0.00056023
2.52064,-0.00056024
2.53068,-0.00055989
2.54152,-0.00055979
2.55067,-0.00056053
2.56068,-0.00055975
2.57213,-0.00056067
2.58067,-0.00056076
2.59068,-0.00056063
2.60082,-0.00055915
2.61068,-0.00056085
2.62069,-0.00055995
2.63067,-0.00056027
2.64065,-0.00056045
2.65093,-0.0005607
2.66064,-0.0005601
2.67068,-0.00056095
2.68201,-0.00056038
2.69067,-0.00056076
2.70068,-0.00056007
2.7108,-0.00055995
2.72068,-0.00056029
2.73065,-0.00056058
