Setup title,"I/V-t Sampling_500s_dark_3V"
0.46068,1.8412E-05
0.47068,1.8458E-05
0.48068,1.8517E-05
0.49067,1.8539E-05
0.50064,1.8543E-05
0.51139,1.8518E-05
0.52067,1.8502E-05
0.53068,1.8483E-05
0.54203,1.8545E-05
0.55063,1.8465E-05
0.56064,1.8492E-05
0.57089,1.8481E-05
0.58064,1.8489E-05
0.59068,1.8476E-05
0.60068,1.8535E-05
0.61068,1.8516E-05
0.62083,1.8502E-05
0.63063,1.8508E-05
0.64064,1.8474E-05
0.65197,1.847E-05
0.66068,1.8535E-05
0.67068,1.8478E-05
0.68085,1.846E-05
0.69064,1.8464E-05
0.70067,1.8447E-05
0.71068,1.8425E-05
0.72064,1.842E-05
0.73064,1.8439E-05
0.74067,1.841E-05
0.75064,1.8484E-05
0.76136,1.8491E-05
0.77067,1.8437E-05
0.78068,1.8491E-05
0.79204,1.8475E-05
0.80067,1.8447E-05
0.81064,1.8437E-05
0.82087,1.8451E-05
0.83064,1.848E-05
0.84064,1.8457E-05
0.85064,1.8434E-05
0.86068,1.8468E-05
0.87087,1.8465E-05
0.88063,1.8428E-05
0.89063,1.8446E-05
0.90195,1.8448E-05
0.91067,1.8441E-05
0.92068,1.844E-05
0.93086,1.8443E-05
0.94068,1.8427E-05
0.95069,1.8481E-05
0.96067,1.8455E-05
0.97064,1.8547E-05
0.98069,1.8512E-05
0.99067,1.8417E-05
1.00068,1.8481E-05
1.01145,1.8544E-05
1.02067,1.8498E-05
1.03068,1.8546E-05
1.042,1.8486E-05
1.05068,1.849E-05
1.06069,1.8398E-05
1.07091,1.8352E-05
1.08068,1.8437E-05
1.09064,1.8433E-05
1.10064,1.8378E-05
1.11068,1.8407E-05
1.12093,1.8418E-05
1.13067,1.8436E-05
1.14064,1.842E-05
1.15193,1.8384E-05
1.16067,1.8472E-05
1.17064,1.8453E-05
1.18086,1.846E-05
1.19063,1.8453E-05
1.20064,1.8381E-05
1.21067,1.8521E-05
1.22064,1.844E-05
1.23092,1.8451E-05
1.24063,1.8432E-05
1.25064,1.8463E-05
1.26137,1.8434E-05
1.27063,1.8397E-05
1.28068,1.8411E-05
1.29202,1.8398E-05
1.30063,1.8376E-05
1.31064,1.8393E-05
1.32089,1.8399E-05
1.33072,1.8425E-05
1.34064,1.8425E-05
1.35068,1.8433E-05
1.36068,1.8423E-05
1.37093,1.8455E-05
1.38063,1.8457E-05
1.39064,1.846E-05
1.40164,1.8453E-05
1.41067,1.8465E-05
1.42064,1.8478E-05
1.43081,1.8483E-05
1.44064,1.8395E-05
1.45068,1.8385E-05
1.46068,1.8407E-05
1.47068,1.8393E-05
1.48073,1.8416E-05
1.49067,1.8467E-05
1.50068,1.8428E-05
1.51142,1.8423E-05
1.52067,1.8404E-05
1.53068,1.8429E-05
1.54205,1.8414E-05
1.55064,1.8401E-05
1.56064,1.8426E-05
1.57088,1.84E-05
1.58072,1.8396E-05
1.59068,1.8426E-05
1.60064,1.8416E-05
1.61064,1.839E-05
1.62093,1.8454E-05
1.63063,1.8454E-05
1.64064,1.8409E-05
1.65195,1.8395E-05
1.66067,1.8413E-05
1.67068,1.8416E-05
1.68082,1.8447E-05
1.69068,1.8445E-05
1.70068,1.8398E-05
1.71063,1.8445E-05
1.72064,1.8446E-05
1.73068,1.8385E-05
1.74063,1.8376E-05
1.75064,1.8404E-05
1.76141,1.8382E-05
1.77063,1.8419E-05
1.78068,1.8395E-05
1.79206,1.8406E-05
1.80063,1.8419E-05
1.81068,1.8424E-05
1.82088,1.8426E-05
1.83064,1.8412E-05
1.84069,1.8412E-05
1.85067,1.8436E-05
1.86068,1.8416E-05
1.87087,1.8417E-05
1.88063,1.8424E-05
1.89064,1.8413E-05
1.9019,1.8391E-05
1.91068,1.8381E-05
1.92068,1.8401E-05
1.93085,1.8374E-05
1.94063,1.837E-05
1.95064,1.8394E-05
1.96063,1.8364E-05
1.97068,1.8402E-05
1.98068,1.8388E-05
1.99063,1.8387E-05
2.00068,1.8417E-05
2.01138,1.8418E-05
2.02067,1.8394E-05
2.03068,1.8431E-05
2.04204,1.8412E-05
2.05063,1.8414E-05
2.06068,1.842E-05
2.07096,1.8432E-05
2.08068,1.8417E-05
2.09068,1.8433E-05
2.10067,1.8426E-05
2.11064,1.8415E-05
2.12087,1.8425E-05
2.13067,1.8439E-05
2.14064,1.8421E-05
2.15165,1.845E-05
2.16067,1.8451E-05
2.17068,1.8467E-05
2.18084,1.8455E-05
2.19067,1.8429E-05
2.20068,1.8475E-05
2.21068,1.8481E-05
2.22064,1.8468E-05
2.23068,1.8471E-05
2.24067,1.8459E-05
2.25068,1.8466E-05
2.26137,1.8456E-05
2.27067,1.8463E-05
2.28064,1.8488E-05
2.29206,1.848E-05
2.30067,1.8387E-05
2.31064,1.8436E-05
2.32096,1.8461E-05
2.33068,1.8476E-05
2.34064,1.8483E-05
2.35063,1.8395E-05
2.36064,1.8351E-05
2.37092,1.8486E-05
2.38064,1.8491E-05
2.39068,1.8475E-05
2.40169,1.8445E-05
2.41067,1.8456E-05
2.42064,1.8481E-05
2.43084,1.8436E-05
2.44068,1.8468E-05
2.45068,1.8472E-05
2.46067,1.8457E-05
2.47064,1.8475E-05
2.48064,1.8471E-05
2.49067,1.8414E-05
2.50068,1.8415E-05
2.51132,1.8416E-05
2.52068,1.8412E-05
2.53068,1.8538E-05
