Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
0.87,1.13815E-09
0.86,1.13773E-09
0.85,1.1379E-09
0.84,1.13802E-09
0.83,1.1379E-09
0.82,1.138E-09
0.81,1.13763E-09
0.8,1.13794E-09
0.79,1.13768E-09
0.78,1.13778E-09
0.77,1.13803E-09
0.76,1.13779E-09
0.75,1.13803E-09
0.74,1.13775E-09
0.73,1.13815E-09
0.72,1.13815E-09
0.71,1.13756E-09
0.7,1.13813E-09
0.69,1.13768E-09
0.68,1.13806E-09
0.67,1.13799E-09
0.66,1.13773E-09
0.65,1.13792E-09
0.64,1.13805E-09
0.63,1.13792E-09
0.62,1.13811E-09
0.61,1.13776E-09
0.6,1.13805E-09
0.59,1.13789E-09
0.58,1.1379E-09
0.57,1.13792E-09
0.56,1.13787E-09
0.55,1.13808E-09
0.54,1.13788E-09
0.53,1.13804E-09
0.52,1.13794E-09
0.51,1.13784E-09
0.5,1.13814E-09
0.49,1.13783E-09
0.48,1.13815E-09
0.47,1.13798E-09
0.46,1.13799E-09
0.45,1.13804E-09
0.44,1.13771E-09
0.43,1.13799E-09
0.42,1.1379E-09
0.41,1.13795E-09
0.4,1.13829E-09
0.39,1.13801E-09
0.38,1.13811E-09
0.37,1.13778E-09
0.36,1.13796E-09
0.35,1.138E-09
0.34,1.13787E-09
0.33,1.13799E-09
0.32,1.13787E-09
0.31,1.13808E-09
0.3,1.13799E-09
0.29,1.13761E-09
0.28,1.13808E-09
0.27,1.13784E-09
0.26,1.13813E-09
0.25,1.13802E-09
0.24,1.13775E-09
0.23,1.13812E-09
0.22,1.13795E-09
0.21,1.13789E-09
0.2,1.13803E-09
0.19,1.13793E-09
0.18,1.1382E-09
0.17,1.13788E-09
0.16,1.13801E-09
0.15,1.13824E-09
0.14,1.13806E-09
0.13,1.13817E-09
0.12,1.13785E-09
0.11,1.1382E-09
0.1,1.13791E-09
0.09,1.1381E-09
0.08,1.13821E-09
0.07,1.13743E-09
0.06,1.1381E-09
0.05,1.13789E-09
0.04,1.13765E-09
0.03,1.1379E-09
0.02,1.13755E-09
0.01,1.13779E-09
0,1.13769E-09
-0.01,1.13751E-09
-0.02,1.13757E-09
-0.03,1.1375E-09
-0.04,1.13745E-09
-0.05,1.13719E-09
-0.06,1.13696E-09
-0.07,1.13716E-09
-0.08,1.1366E-09
-0.09,1.13663E-09
-0.1,1.136E-09
-0.11,1.13594E-09
-0.12,1.13566E-09
-0.13,1.13512E-09
-0.14,1.13499E-09
-0.15,1.13404E-09
-0.16,1.1339E-09
-0.17,1.13309E-09
-0.18,1.13247E-09
-0.19,1.13193E-09
-0.2,1.13103E-09
-0.21,1.13053E-09
-0.22,1.12942E-09
-0.23,1.12876E-09
-0.24,1.12794E-09
-0.25,1.12668E-09
-0.26,1.12603E-09
-0.27,1.12484E-09
-0.28,1.12395E-09
-0.29,1.12307E-09
-0.3,1.12187E-09
-0.31,1.12101E-09
-0.32,1.11938E-09
-0.33,1.11857E-09
-0.34,1.1177E-09
-0.35,1.11603E-09
-0.36,1.11525E-09
-0.37,1.11389E-09
-0.38,1.11305E-09
-0.39,1.11159E-09
-0.4,1.11058E-09
-0.41,1.10972E-09
-0.42,1.10792E-09
-0.43,1.10685E-09
-0.44,1.10584E-09
-0.45,1.10444E-09
-0.46,1.10342E-09
-0.47,1.10199E-09
-0.48,1.10109E-09
-0.49,1.09999E-09
-0.5,1.09855E-09
-0.51,1.09795E-09
-0.52,1.09639E-09
-0.53,1.09546E-09
-0.54,1.094E-09
-0.55,1.09306E-09
-0.56,1.09205E-09
-0.57,1.0905E-09
-0.58,1.08973E-09
-0.59,1.08861E-09
-0.6,1.08761E-09
-0.61,1.08662E-09
-0.62,1.08515E-09
-0.63,1.08472E-09
-0.64,1.08321E-09
-0.65,1.08222E-09
-0.66,1.08141E-09
-0.67,1.08042E-09
-0.68,1.07947E-09
-0.69,1.0783E-09
-0.7,1.07754E-09
-0.71,1.07653E-09
-0.72,1.0754E-09
-0.73,1.07501E-09
-0.74,1.07371E-09
-0.75,1.07313E-09
-0.76,1.07212E-09
-0.77,1.07105E-09
-0.78,1.07056E-09
-0.79,1.06936E-09
-0.8,1.06877E-09
-0.81,1.06773E-09
-0.82,1.06682E-09
-0.83,1.06632E-09
-0.84,1.06527E-09
-0.85,1.06474E-09
-0.86,1.06357E-09
-0.87,1.06275E-09
-0.88,1.06212E-09
-0.89,1.06101E-09
-0.9,1.06039E-09
-0.91,1.05943E-09
-0.92,1.05874E-09
-0.93,1.05817E-09
-0.94,1.05718E-09
-0.95,1.05662E-09
-0.96,1.05581E-09
-0.97,1.0549E-09
-0.98,1.05442E-09
-0.99,1.05342E-09
-1,1.05275E-09
-1.01,1.05216E-09
-1.02,1.05112E-09
-1.03,1.05082E-09
-1.04,1.0497E-09
-1.05,1.04918E-09
-1.06,1.04845E-09
-1.07,1.0476E-09
-1.08,1.04682E-09
-1.09,1.04575E-09
-1.1,1.04548E-09
-1.11,1.04453E-09
-1.12,1.04389E-09
-1.13,1.04305E-09
-1.14,1.04242E-09
-1.15,1.04174E-09
-1.16,1.04081E-09
-1.17,1.03978E-09
-1.18,1.03889E-09
-1.19,1.03828E-09
-1.2,1.03809E-09
-1.21,1.03664E-09
-1.22,1.03619E-09
-1.23,1.03539E-09
-1.24,1.03423E-09
-1.25,1.03398E-09
-1.26,1.03283E-09
-1.27,1.03238E-09
-1.28,1.03153E-09
-1.29,1.03076E-09
-1.3,1.03003E-09
-1.31,1.02918E-09
-1.32,1.02832E-09
-1.33,1.02764E-09
-1.34,1.02652E-09
-1.35,1.02583E-09
-1.36,1.02486E-09
-1.37,1.02418E-09
-1.38,1.0235E-09
-1.39,1.02255E-09
-1.4,1.02153E-09
-1.41,1.02096E-09
-1.42,1.02025E-09
-1.43,1.01953E-09
-1.44,1.01837E-09
-1.45,1.01782E-09
-1.46,1.01689E-09
-1.47,1.01585E-09
-1.48,1.01478E-09
-1.49,1.01387E-09
-1.5,1.01292E-09
-1.51,1.01196E-09
-1.52,1.01109E-09
-1.53,1.01021E-09
-1.54,1.00927E-09
-1.55,1.00879E-09
-1.56,1.00783E-09
-1.57,1.00683E-09
-1.58,1.00573E-09
-1.59,1.00503E-09
-1.6,1.00361E-09
-1.61,1.00288E-09
-1.62,1.00201E-09
-1.63,1.00143E-09
-1.64,1.00043E-09
-1.65,9.98899E-10
-1.66,9.98438E-10
-1.67,9.97332E-10
-1.68,9.95991E-10
-1.69,9.95069E-10
-1.7,9.94218E-10
-1.71,9.93601E-10
-1.72,9.92237E-10
-1.73,9.91359E-10
-1.74,9.90524E-10
-1.75,9.89801E-10
-1.76,9.88623E-10
-1.77,9.87605E-10
-1.78,9.86698E-10
-1.79,9.85311E-10
-1.8,9.84809E-10
-1.81,9.83372E-10
-1.82,9.82233E-10
-1.83,9.81416E-10
-1.84,9.80374E-10
-1.85,9.78933E-10
-1.86,9.78017E-10
-1.87,9.76919E-10
-1.88,9.7587E-10
-1.89,9.75007E-10
-1.9,9.73749E-10
-1.91,9.7287E-10
-1.92,9.71313E-10
-1.93,9.70233E-10
-1.94,9.69025E-10
-1.95,9.68797E-10
-1.96,9.67401E-10
-1.97,9.65955E-10
-1.98,9.64794E-10
-1.99,9.63667E-10
-2,9.62629E-10
-2.01,9.62575E-10
-2.02,9.61328E-10
-2.03,9.6006E-10
-2.04,9.59357E-10
-2.05,9.58579E-10
-2.06,9.57103E-10
-2.07,9.56004E-10
-2.08,9.5562E-10
-2.09,9.54362E-10
-2.1,9.53581E-10
-2.11,9.52503E-10
-2.12,9.51173E-10
-2.13,9.50184E-10
-2.14,9.48561E-10
-2.15,9.47675E-10
-2.16,9.46085E-10
-2.17,9.45532E-10
-2.18,9.44853E-10
-2.19,9.43213E-10
-2.2,9.42406E-10
-2.21,9.41631E-10
-2.22,9.41093E-10
-2.23,9.39844E-10
-2.24,9.38541E-10
-2.25,9.37248E-10
-2.26,9.35883E-10
-2.27,9.35748E-10
-2.28,9.34855E-10
-2.29,9.34058E-10
-2.3,9.32973E-10
-2.31,9.32141E-10
-2.32,9.3127E-10
-2.33,9.30272E-10
-2.34,9.28452E-10
-2.35,9.26722E-10
-2.36,9.25787E-10
-2.37,9.2554E-10
-2.38,9.24603E-10
-2.39,9.22968E-10
-2.4,9.22886E-10
-2.41,9.20988E-10
-2.42,9.20091E-10
-2.43,9.19566E-10
-2.44,9.17148E-10
-2.45,9.1685E-10
-2.46,9.15671E-10
-2.47,9.15438E-10
-2.48,9.13121E-10
-2.49,9.12325E-10
-2.5,9.11075E-10
-2.51,9.09861E-10
-2.52,9.10099E-10
-2.53,9.08254E-10
-2.54,9.07803E-10
-2.55,9.06571E-10
-2.56,9.05186E-10
-2.57,9.04521E-10
-2.58,9.03403E-10
-2.59,9.02829E-10
-2.6,9.01317E-10
-2.61,9.00226E-10
-2.62,8.99818E-10
-2.63,8.97153E-10
-2.64,8.97617E-10
-2.65,8.97003E-10
-2.66,8.95895E-10
-2.67,8.93549E-10
-2.68,8.92264E-10
-2.69,8.93259E-10
-2.7,8.90738E-10
-2.71,8.89315E-10
-2.72,8.89133E-10
-2.73,8.88022E-10
-2.74,8.86799E-10
-2.75,8.86124E-10
-2.76,8.84802E-10
-2.77,8.84896E-10
-2.78,8.83147E-10
-2.79,8.82041E-10
-2.8,8.80456E-10
-2.81,8.78948E-10
-2.82,8.78138E-10
-2.83,8.7827E-10
-2.84,8.77739E-10
-2.85,8.75893E-10
-2.86,8.75367E-10
-2.87,8.7373E-10
-2.88,8.7163E-10
-2.89,8.71615E-10
-2.9,8.70163E-10
-2.91,8.69063E-10
-2.92,8.67682E-10
-2.93,8.6759E-10
-2.94,8.67765E-10
-2.95,8.65065E-10
-2.96,8.65094E-10
-2.97,8.63959E-10
-2.98,8.64082E-10
-2.99,8.63186E-10
-3,8.59809E-10
-3.01,8.60596E-10
-3.02,8.58032E-10
-3.03,8.58378E-10
-3.04,8.58922E-10
-3.05,8.57424E-10
-3.06,8.56951E-10
-3.07,8.56454E-10
-3.08,8.54862E-10
-3.09,8.54592E-10
-3.1,8.5461E-10
-3.11,8.55003E-10
-3.12,8.52681E-10
-3.13,8.51518E-10
-3.14,8.51082E-10
-3.15,8.51966E-10
-3.16,8.49606E-10
-3.17,8.47847E-10
-3.18,8.47265E-10
-3.19,8.46892E-10
-3.2,8.45288E-10
-3.21,8.44249E-10
-3.22,8.44153E-10
-3.23,8.44132E-10
-3.24,8.43678E-10
-3.25,8.40981E-10
-3.26,8.43221E-10
-3.27,8.40581E-10
-3.28,8.40627E-10
-3.29,8.40129E-10
-3.3,8.36547E-10
-3.31,8.3803E-10
-3.32,8.38443E-10
-3.33,8.35464E-10
-3.34,8.36568E-10
-3.35,8.38317E-10
-3.36,8.35948E-10
-3.37,8.3388E-10
-3.38,8.3277E-10
-3.39,8.32198E-10
-3.4,8.31318E-10
-3.41,8.30452E-10
-3.42,8.30187E-10
-3.43,8.28503E-10
-3.44,8.27168E-10
-3.45,8.2856E-10
-3.46,8.25343E-10
-3.47,8.26039E-10
-3.48,8.24963E-10
-3.49,8.2355E-10
-3.5,8.22561E-10
-3.51,8.22057E-10
-3.52,8.24056E-10
-3.53,8.23765E-10
-3.54,8.23871E-10
-3.55,8.22603E-10
-3.56,8.20331E-10
-3.57,8.16146E-10
-3.58,8.17332E-10
-3.59,8.19164E-10
-3.6,8.15984E-10
-3.61,8.15521E-10
-3.62,8.16762E-10
-3.63,8.13879E-10
-3.64,8.12528E-10
-3.65,8.12334E-10
-3.66,8.11579E-10
-3.67,8.07998E-10
-3.68,8.10356E-10
-3.69,8.096E-10
-3.7,8.07631E-10
-3.71,8.08996E-10
-3.72,8.0597E-10
-3.73,8.04712E-10
-3.74,8.03312E-10
-3.75,8.05438E-10
-3.76,8.0295E-10
-3.77,8.0136E-10
-3.78,8.01954E-10
-3.79,7.99483E-10
-3.8,7.99395E-10
-3.81,7.98326E-10
-3.82,7.9706E-10
-3.83,7.97677E-10
-3.84,7.96901E-10
-3.85,7.93703E-10
-3.86,7.9275E-10
-3.87,7.94207E-10
-3.88,7.94997E-10
-3.89,7.90813E-10
-3.9,7.90493E-10
-3.91,7.90932E-10
-3.92,7.87655E-10
-3.93,7.87944E-10
-3.94,7.85666E-10
-3.95,7.87937E-10
-3.96,7.82813E-10
-3.97,7.84157E-10
-3.98,7.83981E-10
-3.99,7.81745E-10
-4,7.82576E-10
-4.01,7.81325E-10
-4.02,7.78641E-10
-4.03,7.76998E-10
-4.04,7.77657E-10
-4.05,7.77533E-10
-4.06,7.7712E-10
-4.07,7.74679E-10
-4.08,7.74291E-10
-4.09,7.67429E-10
-4.1,7.70748E-10
-4.11,7.70575E-10
-4.12,7.65502E-10
-4.13,7.66583E-10
-4.14,7.60565E-10
-4.15,7.62054E-10
-4.16,7.61217E-10
-4.17,7.64772E-10
-4.18,7.56731E-10
-4.19,7.59887E-10
-4.2,7.60659E-10
-4.21,7.57689E-10
-4.22,7.56677E-10
-4.23,7.51443E-10
-4.24,7.51651E-10
-4.25,7.54925E-10
-4.26,7.48187E-10
-4.27,7.48279E-10
-4.28,7.48701E-10
-4.29,7.47679E-10
-4.3,7.4479E-10
-4.31,7.42447E-10
-4.32,7.4181E-10
-4.33,7.42482E-10
-4.34,7.34009E-10
-4.35,7.34683E-10
-4.36,7.37199E-10
-4.37,7.31989E-10
-4.38,7.33762E-10
-4.39,7.28645E-10
-4.4,7.33632E-10
-4.41,7.27718E-10
-4.42,7.15538E-10
-4.43,7.20553E-10
-4.44,7.10675E-10
-4.45,7.14779E-10
-4.46,7.07634E-10
-4.47,7.17345E-10
-4.48,6.75009E-10
-4.49,6.29357E-10
-4.5,6.4093E-10
-4.51,6.18072E-10
-4.52,5.97531E-10
-4.53,5.86185E-10
-4.54,5.86205E-10
-4.55,4.96567E-10
-4.56,5.80929E-10
-4.57,5.41071E-10
-4.58,5.014E-10
-4.59,5.54835E-10
-4.6,5.84463E-10
-4.61,6.208E-10
-4.62,6.3679E-10
-4.63,6.49419E-10
-4.64,5.92441E-10
-4.65,6.34414E-10
-4.66,6.36041E-10
-4.67,6.34051E-10
-4.68,6.18468E-10
-4.69,6.68726E-10
-4.7,6.44406E-10
-4.71,5.56487E-10
-4.72,5.27412E-10
-4.73,6.44682E-10
-4.74,6.47491E-10
-4.75,6.56853E-10
-4.76,6.65196E-10
-4.77,6.58006E-10
-4.78,6.60457E-10
-4.79,6.55739E-10
-4.8,6.59779E-10
-4.81,6.56442E-10
-4.82,6.5742E-10
-4.83,6.66902E-10
-4.84,6.58731E-10
-4.85,6.5392E-10
-4.86,6.61741E-10
-4.87,6.59101E-10
-4.88,6.58032E-10
-4.89,6.55362E-10
-4.9,6.59714E-10
-4.91,6.57851E-10
-4.92,6.51714E-10
-4.93,6.48215E-10
-4.94,6.52253E-10
-4.95,6.55055E-10
-4.96,6.49815E-10
-4.97,6.58812E-10
-4.98,6.56134E-10
-4.99,6.60804E-10
-5,6.49769E-10
-5.01,6.55375E-10
-5.02,6.43209E-10
-5.03,6.52087E-10
-5.04,6.45288E-10
-5.05,6.53854E-10
-5.06,6.52317E-10
-5.07,6.571E-10
-5.08,6.53234E-10
-5.09,6.53037E-10
-5.1,6.48892E-10
-5.11,6.57958E-10
-5.12,6.52918E-10
-5.13,6.5289E-10
-5.14,6.49659E-10
-5.15,6.57547E-10
-5.16,6.58457E-10
-5.17,6.49924E-10
-5.18,6.52147E-10
-5.19,6.54531E-10
-5.2,6.50242E-10
-5.21,6.45631E-10
-5.22,6.49161E-10
-5.23,6.50117E-10
-5.24,6.48473E-10
-5.25,6.50558E-10
-5.26,6.57652E-10
-5.27,6.52998E-10
-5.28,6.55403E-10
-5.29,6.57286E-10
-5.3,6.55746E-10
-5.31,6.60307E-10
-5.32,6.57275E-10
-5.33,6.54363E-10
-5.34,6.54419E-10
-5.35,6.52928E-10
-5.36,6.57807E-10
-5.37,6.46867E-10
-5.38,6.5803E-10
-5.39,6.57998E-10
-5.4,6.48901E-10
-5.41,6.52069E-10
-5.42,6.56065E-10
-5.43,6.55476E-10
-5.44,6.55973E-10
-5.45,6.54588E-10
-5.46,6.61058E-10
-5.47,6.55043E-10
-5.48,6.59622E-10
-5.49,6.6427E-10
-5.5,6.56178E-10
-5.51,6.60198E-10
-5.52,6.60223E-10
-5.53,6.57468E-10
-5.54,6.61504E-10
-5.55,6.63055E-10
-5.56,6.63124E-10
-5.57,6.64474E-10
-5.58,6.70946E-10
-5.59,6.59633E-10
-5.6,6.62188E-10
-5.61,6.706E-10
-5.62,6.65583E-10
-5.63,6.67102E-10
-5.64,6.72067E-10
-5.65,6.74505E-10
-5.66,6.68271E-10
-5.67,6.6327E-10
-5.68,6.72946E-10
-5.69,6.71264E-10
-5.7,6.73335E-10
-5.71,6.7535E-10
-5.72,6.73119E-10
-5.73,6.85031E-10
-5.74,6.73174E-10
-5.75,6.79785E-10
-5.76,6.81237E-10
-5.77,6.77466E-10
-5.78,6.76909E-10
-5.79,6.87242E-10
-5.8,6.76473E-10
-5.81,6.76056E-10
-5.82,6.87441E-10
-5.83,6.82769E-10
-5.84,6.85841E-10
-5.85,6.85907E-10
-5.86,6.85898E-10
-5.87,6.88912E-10
-5.88,6.84502E-10
-5.89,6.8785E-10
-5.9,6.86049E-10
-5.91,6.86387E-10
-5.92,6.9029E-10
-5.93,6.9588E-10
-5.94,6.93259E-10
-5.95,6.96856E-10
-5.96,6.93106E-10
-5.97,6.91744E-10
-5.98,7.00011E-10
-5.99,7.06211E-10
-6,7.09378E-10
-6,5.17646E-10
-5.99,5.17411E-10
-5.98,5.18164E-10
-5.97,5.17842E-10
-5.96,5.18744E-10
-5.95,5.18821E-10
-5.94,5.18187E-10
-5.93,5.17393E-10
-5.92,5.16981E-10
-5.91,5.13646E-10
-5.9,5.18561E-10
-5.89,5.19315E-10
-5.88,5.18782E-10
-5.87,5.19603E-10
-5.86,5.19899E-10
-5.85,5.19088E-10
-5.84,5.18541E-10
-5.83,5.16312E-10
-5.82,5.15387E-10
-5.81,5.17026E-10
-5.8,5.16419E-10
-5.79,5.16986E-10
-5.78,5.13639E-10
-5.77,5.13489E-10
-5.76,5.13823E-10
-5.75,5.18127E-10
-5.74,5.20293E-10
-5.73,5.20674E-10
-5.72,5.20483E-10
-5.71,5.21324E-10
-5.7,5.21074E-10
-5.69,5.20126E-10
-5.68,5.20704E-10
-5.67,5.19336E-10
-5.66,5.19161E-10
-5.65,5.15633E-10
-5.64,5.15249E-10
-5.63,5.17176E-10
-5.62,5.18934E-10
-5.61,5.17761E-10
-5.6,5.18145E-10
-5.59,5.19447E-10
-5.58,5.1744E-10
-5.57,5.1623E-10
-5.56,5.16616E-10
-5.55,5.19347E-10
-5.54,5.18651E-10
-5.53,5.1895E-10
-5.52,5.17576E-10
-5.51,5.18143E-10
-5.5,5.19553E-10
-5.49,5.19512E-10
-5.48,5.22883E-10
-5.47,5.22483E-10
-5.46,5.22383E-10
-5.45,5.25784E-10
-5.44,5.2593E-10
-5.43,5.25819E-10
-5.42,5.2598E-10
-5.41,5.24835E-10
-5.4,5.24169E-10
-5.39,5.25835E-10
-5.38,5.25321E-10
-5.37,5.26911E-10
-5.36,5.2613E-10
-5.35,5.2589E-10
-5.34,5.26367E-10
-5.33,5.27E-10
-5.32,5.2585E-10
-5.31,5.26728E-10
-5.3,5.2799E-10
-5.29,5.29149E-10
-5.28,5.28056E-10
-5.27,5.27609E-10
-5.26,5.27364E-10
-5.25,5.28634E-10
-5.24,5.29375E-10
-5.23,5.30747E-10
-5.22,5.29054E-10
-5.21,5.28988E-10
-5.2,5.29377E-10
-5.19,5.30323E-10
-5.18,5.31906E-10
-5.17,5.31005E-10
-5.16,5.32493E-10
-5.15,5.31817E-10
-5.14,5.32105E-10
-5.13,5.31433E-10
-5.12,5.32673E-10
-5.11,5.32042E-10
-5.1,5.33314E-10
-5.09,5.33975E-10
-5.08,5.34099E-10
-5.07,5.33385E-10
-5.06,5.33227E-10
-5.05,5.33277E-10
-5.04,5.33899E-10
-5.03,5.33868E-10
-5.02,5.34234E-10
-5.01,5.34977E-10
-5,5.3536E-10
-4.99,5.34936E-10
-4.98,5.35205E-10
-4.97,5.35091E-10
-4.96,5.35715E-10
-4.95,5.35779E-10
-4.94,5.35341E-10
-4.93,5.35815E-10
-4.92,5.35757E-10
-4.91,5.3695E-10
-4.9,5.3638E-10
-4.89,5.36809E-10
-4.88,5.37051E-10
-4.87,5.36957E-10
-4.86,5.37007E-10
-4.85,5.37752E-10
-4.84,5.37472E-10
-4.83,5.37803E-10
-4.82,5.37789E-10
-4.81,5.38115E-10
-4.8,5.38322E-10
-4.79,5.38968E-10
-4.78,5.38469E-10
-4.77,5.39081E-10
-4.76,5.39174E-10
-4.75,5.39101E-10
-4.74,5.39361E-10
-4.73,5.39963E-10
-4.72,5.39694E-10
-4.71,5.40128E-10
-4.7,5.40018E-10
-4.69,5.40389E-10
-4.68,5.40448E-10
-4.67,5.41211E-10
-4.66,5.41376E-10
-4.65,5.4091E-10
-4.64,5.41484E-10
-4.63,5.415E-10
-4.62,5.41964E-10
-4.61,5.42185E-10
-4.6,5.42421E-10
-4.59,5.42611E-10
-4.58,5.42892E-10
-4.57,5.4337E-10
-4.56,5.43402E-10
-4.55,5.43045E-10
-4.54,5.44238E-10
-4.53,5.44127E-10
-4.52,5.43967E-10
-4.51,5.44324E-10
-4.5,5.44838E-10
-4.49,5.45287E-10
-4.48,5.45616E-10
-4.47,5.45713E-10
-4.46,5.46163E-10
-4.45,5.46122E-10
-4.44,5.46961E-10
-4.43,5.46922E-10
-4.42,5.4768E-10
-4.41,5.47807E-10
-4.4,5.48159E-10
-4.39,5.48103E-10
-4.38,5.48816E-10
-4.37,5.49208E-10
-4.36,5.49448E-10
-4.35,5.49756E-10
-4.34,5.50619E-10
-4.33,5.50535E-10
-4.32,5.51165E-10
-4.31,5.51692E-10
-4.3,5.51789E-10
-4.29,5.52471E-10
-4.28,5.52727E-10
-4.27,5.53098E-10
-4.26,5.53848E-10
-4.25,5.54529E-10
-4.24,5.54727E-10
-4.23,5.55253E-10
-4.22,5.55751E-10
-4.21,5.56435E-10
-4.2,5.57246E-10
-4.19,5.57749E-10
-4.18,5.57863E-10
-4.17,5.58519E-10
-4.16,5.59124E-10
-4.15,5.59863E-10
-4.14,5.60437E-10
-4.13,5.61026E-10
-4.12,5.61623E-10
-4.11,5.62154E-10
-4.1,5.62635E-10
-4.09,5.63657E-10
-4.08,5.64237E-10
-4.07,5.64687E-10
-4.06,5.65607E-10
-4.05,5.66507E-10
-4.04,5.66841E-10
-4.03,5.67876E-10
-4.02,5.68787E-10
-4.01,5.69102E-10
-4,5.69937E-10
-3.99,5.70727E-10
-3.98,5.71466E-10
-3.97,5.72025E-10
-3.96,5.72939E-10
-3.95,5.74003E-10
-3.94,5.74946E-10
-3.93,5.75587E-10
-3.92,5.76177E-10
-3.91,5.76923E-10
-3.9,5.77669E-10
-3.89,5.786E-10
-3.88,5.79397E-10
-3.87,5.80137E-10
-3.86,5.80811E-10
-3.85,5.81529E-10
-3.84,5.82412E-10
-3.83,5.83491E-10
-3.82,5.84401E-10
-3.81,5.84958E-10
-3.8,5.86018E-10
-3.79,5.86898E-10
-3.78,5.87513E-10
-3.77,5.88354E-10
-3.76,5.89648E-10
-3.75,5.90397E-10
-3.74,5.91212E-10
-3.73,5.91983E-10
-3.72,5.92889E-10
-3.71,5.93953E-10
-3.7,5.94943E-10
-3.69,5.95692E-10
-3.68,5.96621E-10
-3.67,5.982E-10
-3.66,5.99141E-10
-3.65,6.00196E-10
-3.64,6.00351E-10
-3.63,6.0195E-10
-3.62,6.02716E-10
-3.61,6.03833E-10
-3.6,6.03914E-10
-3.59,6.05788E-10
-3.58,6.06081E-10
-3.57,6.07662E-10
-3.56,6.08092E-10
-3.55,6.09913E-10
-3.54,6.10085E-10
-3.53,6.11884E-10
-3.52,6.12465E-10
-3.51,6.13878E-10
-3.5,6.13978E-10
-3.49,6.15813E-10
-3.48,6.16102E-10
-3.47,6.17843E-10
-3.46,6.18369E-10
-3.45,6.19767E-10
-3.44,6.20197E-10
-3.43,6.21825E-10
-3.42,6.2273E-10
-3.41,6.23882E-10
-3.4,6.25013E-10
-3.39,6.26365E-10
-3.38,6.27029E-10
-3.37,6.28215E-10
-3.36,6.29696E-10
-3.35,6.30581E-10
-3.34,6.31929E-10
-3.33,6.3265E-10
-3.32,6.34117E-10
-3.31,6.34395E-10
-3.3,6.36434E-10
-3.29,6.36698E-10
-3.28,6.38603E-10
-3.27,6.38978E-10
-3.26,6.40782E-10
-3.25,6.41385E-10
-3.24,6.43703E-10
-3.23,6.43537E-10
-3.22,6.45887E-10
-3.21,6.45775E-10
-3.2,6.48078E-10
-3.19,6.48292E-10
-3.18,6.50262E-10
-3.17,6.50419E-10
-3.16,6.52782E-10
-3.15,6.52624E-10
-3.14,6.5454E-10
-3.13,6.55039E-10
-3.12,6.57105E-10
-3.11,6.56857E-10
-3.1,6.59253E-10
-3.09,6.59003E-10
-3.08,6.61641E-10
-3.07,6.62147E-10
-3.06,6.63812E-10
-3.05,6.64563E-10
-3.04,6.66586E-10
-3.03,6.67178E-10
-3.02,6.68967E-10
-3.01,6.69594E-10
-3,6.71356E-10
-2.99,6.72657E-10
-2.98,6.73571E-10
-2.97,6.75189E-10
-2.96,6.75831E-10
-2.95,6.76894E-10
-2.94,6.78415E-10
-2.93,6.79789E-10
-2.92,6.80521E-10
-2.91,6.82594E-10
-2.9,6.83118E-10
-2.89,6.85173E-10
-2.88,6.85294E-10
-2.87,6.87178E-10
-2.86,6.87847E-10
-2.85,6.89565E-10
-2.84,6.90144E-10
-2.83,6.92006E-10
-2.82,6.92272E-10
-2.81,6.94746E-10
-2.8,6.94621E-10
-2.79,6.9665E-10
-2.78,6.968E-10
-2.77,6.99177E-10
-2.76,6.99098E-10
-2.75,7.01417E-10
-2.74,7.01251E-10
-2.73,7.0336E-10
-2.72,7.03595E-10
-2.71,7.05935E-10
-2.7,7.05759E-10
-2.69,7.07833E-10
-2.68,7.07605E-10
-2.67,7.09794E-10
-2.66,7.10063E-10
-2.65,7.12206E-10
-2.64,7.12448E-10
-2.63,7.1394E-10
-2.62,7.14513E-10
-2.61,7.16152E-10
-2.6,7.16323E-10
-2.59,7.1818E-10
-2.58,7.18697E-10
-2.57,7.20255E-10
-2.56,7.21239E-10
-2.55,7.22559E-10
-2.54,7.2336E-10
-2.53,7.24732E-10
-2.52,7.25423E-10
-2.51,7.2688E-10
-2.5,7.28253E-10
-2.49,7.28808E-10
-2.48,7.30292E-10
-2.47,7.31033E-10
-2.46,7.32658E-10
-2.45,7.32919E-10
-2.44,7.3473E-10
-2.43,7.35231E-10
-2.42,7.37204E-10
-2.41,7.37665E-10
-2.4,7.39578E-10
-2.39,7.40037E-10
-2.38,7.42074E-10
-2.37,7.42338E-10
-2.36,7.44835E-10
-2.35,7.4507E-10
-2.34,7.47321E-10
-2.33,7.4764E-10
-2.32,7.50012E-10
-2.31,7.5039E-10
-2.3,7.52362E-10
-2.29,7.52887E-10
-2.28,7.55202E-10
-2.27,7.55526E-10
-2.26,7.57607E-10
-2.25,7.5844E-10
-2.24,7.60601E-10
-2.23,7.61205E-10
-2.22,7.63201E-10
-2.21,7.64211E-10
-2.2,7.6599E-10
-2.19,7.67153E-10
-2.18,7.68793E-10
-2.17,7.70239E-10
-2.16,7.7147E-10
-2.15,7.73077E-10
-2.14,7.74546E-10
-2.13,7.76527E-10
-2.12,7.77683E-10
-2.11,7.79481E-10
-2.1,7.80648E-10
-2.09,7.82753E-10
-2.08,7.83581E-10
-2.07,7.86036E-10
-2.06,7.86975E-10
-2.05,7.88991E-10
