Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
-2.44,9.2729E-10
-2.43,9.28943E-10
-2.42,9.29708E-10
-2.41,9.30632E-10
-2.4,9.31988E-10
-2.39,9.32995E-10
-2.38,9.34494E-10
-2.37,9.35058E-10
-2.36,9.36881E-10
-2.35,9.37583E-10
-2.34,9.38171E-10
-2.33,9.40065E-10
-2.32,9.40597E-10
-2.31,9.42724E-10
-2.3,9.43067E-10
-2.29,9.44378E-10
-2.28,9.4619E-10
-2.27,9.46754E-10
-2.26,9.48359E-10
-2.25,9.48838E-10
-2.24,9.4974E-10
-2.23,9.51009E-10
-2.22,9.51908E-10
-2.21,9.53715E-10
-2.2,9.5436E-10
-2.19,9.54875E-10
-2.18,9.56361E-10
-2.17,9.57535E-10
-2.16,9.59124E-10
-2.15,9.60102E-10
-2.14,9.61653E-10
-2.13,9.62299E-10
-2.12,9.63094E-10
-2.11,9.64325E-10
-2.1,9.65535E-10
-2.09,9.65736E-10
-2.08,9.6761E-10
-2.07,9.68055E-10
-2.06,9.69544E-10
-2.05,9.69991E-10
-2.04,9.71479E-10
-2.03,9.72514E-10
-2.02,9.72909E-10
-2.01,9.74544E-10
-2,9.7519E-10
-1.99,9.76665E-10
-1.98,9.77707E-10
-1.97,9.78792E-10
-1.96,9.79448E-10
-1.95,9.79619E-10
-1.94,9.81454E-10
-1.93,9.82547E-10
-1.92,9.8334E-10
-1.91,9.84434E-10
-1.9,9.85312E-10
-1.89,9.86311E-10
-1.88,9.87262E-10
-1.87,9.87996E-10
-1.86,9.89658E-10
-1.85,9.90261E-10
-1.84,9.91579E-10
-1.83,9.92208E-10
-1.82,9.93533E-10
-1.81,9.93776E-10
-1.8,9.94993E-10
-1.79,9.95972E-10
-1.78,9.96229E-10
-1.77,9.9787E-10
-1.76,9.98785E-10
-1.75,9.99555E-10
-1.74,1.00059E-09
-1.73,1.00131E-09
-1.72,1.00199E-09
-1.71,1.00311E-09
-1.7,1.00413E-09
-1.69,1.00503E-09
-1.68,1.00587E-09
-1.67,1.0065E-09
-1.66,1.00766E-09
-1.65,1.00807E-09
-1.64,1.00957E-09
-1.63,1.00979E-09
-1.62,1.01107E-09
-1.61,1.01157E-09
-1.6,1.01259E-09
-1.59,1.01341E-09
-1.58,1.01386E-09
-1.57,1.01489E-09
-1.56,1.01568E-09
-1.55,1.01611E-09
-1.54,1.01723E-09
-1.53,1.01791E-09
-1.52,1.01857E-09
-1.51,1.01938E-09
-1.5,1.02019E-09
-1.49,1.0208E-09
-1.48,1.02184E-09
-1.47,1.02249E-09
-1.46,1.02349E-09
-1.45,1.02431E-09
-1.44,1.02496E-09
-1.43,1.02588E-09
-1.42,1.02633E-09
-1.41,1.02701E-09
-1.4,1.02792E-09
-1.39,1.0285E-09
-1.38,1.02922E-09
-1.37,1.0302E-09
-1.36,1.03044E-09
-1.35,1.03148E-09
-1.34,1.03203E-09
-1.33,1.03291E-09
-1.32,1.03359E-09
-1.31,1.03427E-09
-1.3,1.03506E-09
-1.29,1.03584E-09
-1.28,1.03665E-09
-1.27,1.0375E-09
-1.26,1.03803E-09
-1.25,1.03888E-09
-1.24,1.03892E-09
-1.23,1.03997E-09
-1.22,1.04079E-09
-1.21,1.04149E-09
-1.2,1.04222E-09
-1.19,1.04289E-09
-1.18,1.04355E-09
-1.17,1.04431E-09
-1.16,1.04487E-09
-1.15,1.04577E-09
-1.14,1.04597E-09
-1.13,1.04674E-09
-1.12,1.04764E-09
-1.11,1.04819E-09
-1.1,1.04894E-09
