Setup title,"I/V-t Sampling_-3V_1000S__Dark"
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
Measurement.Sampling.StopCondition.Enabled,true
Measurement.Sampling.StopCondition.EnableDelay,0
Measurement.Sampling.StopCondition.Name,Time
Measurement.Sampling.StopCondition.Threshold,1000
Measurement.Sampling.StopCondition.Event,"Val > Th"
Measurement.Sampling.StopCondition.EventCount,1
Time,I1
0.03481,-5.119E-11
1.005,-3.51E-11
2.00361,-3.466E-11
3.00365,-3.446E-11
4.0023,-3.418E-11
5.00064,-3.447E-11
6.00068,-3.4E-11
7.00064,-3.419E-11
8.00064,-3.376E-11
9.00064,-3.423E-11
10.00631,-3.38E-11
11.00496,-3.365E-11
12.00365,-3.37E-11
13.00365,-3.373E-11
14.0023,-3.36E-11
15.00069,-3.35E-11
16.00064,-3.358E-11
17.00069,-3.328E-11
18.00069,-3.322E-11
19.00631,-3.318E-11
20.00496,-3.31E-11
21.00361,-3.302E-11
22.00365,-3.299E-11
23.00226,-3.271E-11
24.00069,-3.273E-11
25.00069,-3.279E-11
26.00064,-3.3E-11
27.00766,-3.286E-11
28.00632,-3.289E-11
29.00496,-3.272E-11
30.00361,-3.265E-11
31.0023,-3.28E-11
32.00069,-3.239E-11
33.00069,-3.235E-11
34.00064,-3.222E-11
35.00069,-3.218E-11
36.00631,-3.201E-11
37.00501,-3.206E-11
38.00361,-3.203E-11
39.0023,-3.192E-11
40.00226,-3.198E-11
41.00069,-3.165E-11
42.00069,-3.202E-11
43.00064,-3.177E-11
44.0077,-3.195E-11
45.00632,-3.175E-11
46.00501,-3.187E-11
47.00365,-3.152E-11
48.00365,-3.151E-11
49.0023,-3.161E-11
50.00064,-3.143E-11
51.00064,-3.146E-11
52.00068,-3.106E-11
53.00064,-3.103E-11
54.00631,-3.107E-11
55.00636,-3.107E-11
56.00501,-3.084E-11
57.00361,-3.118E-11
58.00361,-3.09E-11
59.00226,-3.072E-11
60.00069,-3.056E-11
61.00069,-3.049E-11
62.00069,-3.082E-11
63.00064,-3.077E-11
64.00064,-3.042E-11
65.00635,-3.05E-11
66.00635,-3.074E-11
67.00496,-3.038E-11
68.00361,-3.016E-11
69.00365,-3.018E-11
70.00226,-3.01E-11
71.00226,-3.012E-11
72.00064,-2.994E-11
73.00069,-2.99E-11
74.00069,-2.983E-11
75.00069,-2.986E-11
76.00069,-2.929E-11
77.00069,-2.939E-11
