Setup title,C-V_device2_100k_500k_1M_dark_post_IV
1.87,4.36604E-10
1.86,4.37073E-10
1.85,4.36551E-10
1.84,4.36938E-10
1.83,4.36865E-10
1.82,4.36726E-10
1.81,4.36925E-10
1.8,4.36656E-10
1.79,4.3691E-10
1.78,4.36693E-10
1.77,4.36743E-10
1.76,4.37045E-10
1.75,4.36848E-10
1.74,4.36896E-10
1.73,4.368E-10
1.72,4.36906E-10
1.71,4.36873E-10
1.7,4.36656E-10
1.69,4.37006E-10
1.68,4.36678E-10
1.67,4.3683E-10
1.66,4.36973E-10
1.65,4.36662E-10
1.64,4.3683E-10
1.63,4.36745E-10
1.62,4.36908E-10
1.61,4.3692E-10
1.6,4.36763E-10
1.59,4.36888E-10
1.58,4.36733E-10
1.57,4.36789E-10
1.56,4.36941E-10
1.55,4.36775E-10
1.54,4.3695E-10
1.53,4.36893E-10
1.52,4.36962E-10
1.51,4.37127E-10
1.5,4.36812E-10
1.49,4.37038E-10
1.48,4.36782E-10
1.47,4.36975E-10
1.46,4.36723E-10
1.45,4.36817E-10
1.44,4.37156E-10
1.43,4.36742E-10
1.42,4.37128E-10
1.41,4.36853E-10
1.4,4.36739E-10
1.39,4.3691E-10
1.38,4.36858E-10
1.37,4.37007E-10
1.36,4.36938E-10
1.35,4.36866E-10
1.34,4.36929E-10
1.33,4.36636E-10
1.32,4.36929E-10
1.31,4.36765E-10
1.3,4.36785E-10
1.29,4.3707E-10
1.28,4.36615E-10
1.27,4.36798E-10
1.26,4.36846E-10
1.25,4.36845E-10
1.24,4.36791E-10
1.23,4.36716E-10
1.22,4.3698E-10
1.21,4.36791E-10
1.2,4.3684E-10
1.19,4.36932E-10
1.18,4.36746E-10
1.17,4.37011E-10
1.16,4.36798E-10
1.15,4.3701E-10
1.14,4.36924E-10
1.13,4.36765E-10
1.12,4.3702E-10
1.11,4.36795E-10
1.1,4.36918E-10
1.09,4.36969E-10
1.08,4.36875E-10
1.07,4.37206E-10
1.06,4.36823E-10
1.05,4.36859E-10
1.04,4.36985E-10
1.03,4.36742E-10
1.02,4.36996E-10
1.01,4.36688E-10
1,4.36917E-10
0.99,4.37082E-10
0.98,4.36818E-10
0.97,4.37094E-10
0.96,4.36897E-10
0.95,4.36969E-10
0.94,4.36974E-10
0.93,4.36766E-10
0.92,4.37142E-10
0.91,4.36863E-10
0.9,4.36855E-10
0.89,4.36878E-10
0.88,4.36861E-10
0.87,4.37094E-10
0.86,4.36734E-10
0.85,4.36876E-10
0.84,4.37002E-10
0.83,4.36624E-10
0.82,4.36995E-10
0.81,4.36722E-10
0.8,4.36867E-10
0.79,4.36866E-10
0.78,4.36724E-10
0.77,4.3704E-10
0.76,4.36924E-10
0.75,4.37054E-10
0.74,4.36909E-10
0.73,4.36628E-10
0.72,4.37175E-10
0.71,4.36638E-10
0.7,4.37122E-10
0.69,4.3686E-10
0.68,4.36869E-10
0.67,4.37025E-10
0.66,4.36825E-10
0.65,4.36977E-10
0.64,4.36697E-10
0.63,4.36836E-10
0.62,4.37059E-10
0.61,4.3678E-10
0.6,4.37004E-10
0.59,4.36634E-10
0.58,4.37031E-10
0.57,4.36939E-10
0.56,4.36896E-10
0.55,4.37115E-10
0.54,4.36993E-10
0.53,4.37069E-10
0.52,4.36862E-10
0.51,4.36905E-10
0.5,4.37001E-10
0.49,4.36867E-10
0.48,4.37065E-10
0.47,4.36863E-10
0.46,4.36966E-10
0.45,4.36969E-10
0.44,4.3684E-10
0.43,4.37014E-10
0.42,4.36714E-10
0.41,4.36879E-10
0.4,4.36958E-10
0.39,4.36755E-10
0.38,4.36985E-10
0.37,4.3667E-10
0.36,4.37072E-10
0.35,4.36965E-10
0.34,4.36862E-10
0.33,4.37105E-10
0.32,4.36936E-10
0.31,4.36877E-10
0.3,4.36845E-10
0.29,4.36891E-10
0.28,4.36961E-10
0.27,4.36746E-10
0.26,4.37024E-10
0.25,4.36907E-10
0.24,4.37019E-10
0.23,4.37204E-10
0.22,4.36668E-10
0.21,4.37034E-10
0.2,4.36945E-10
0.19,4.36819E-10
0.18,4.37087E-10
0.17,4.36822E-10
0.16,4.37065E-10
0.15,4.36831E-10
0.14,4.36992E-10
0.13,4.36985E-10
0.12,4.36974E-10
0.11,4.37059E-10
0.1,4.36838E-10
0.09,4.36788E-10
0.08,4.3712E-10
0.07,4.36865E-10
0.06,4.37227E-10
0.05,4.3693E-10
0.04,4.37041E-10
0.03,4.36973E-10
0.02,4.36643E-10
0.01,4.37232E-10
0,4.36732E-10
-0.01,4.37115E-10
-0.02,4.37024E-10
-0.03,4.36884E-10
-0.04,4.37068E-10
-0.05,4.3673E-10
-0.06,4.37049E-10
-0.07,4.37051E-10
-0.08,4.36884E-10
-0.09,4.3713E-10
-0.1,4.36837E-10
-0.11,4.37087E-10
-0.12,4.36915E-10
-0.13,4.36976E-10
-0.14,4.37079E-10
-0.15,4.36677E-10
-0.16,4.37112E-10
-0.17,4.3684E-10
-0.18,4.36971E-10
-0.19,4.37139E-10
-0.2,4.36769E-10
-0.21,4.37099E-10
-0.22,4.36857E-10
-0.23,4.36916E-10
-0.24,4.37094E-10
-0.25,4.36831E-10
-0.26,4.37175E-10
-0.27,4.36886E-10
-0.28,4.36943E-10
-0.29,4.37125E-10
-0.3,4.36826E-10
-0.31,4.37181E-10
-0.32,4.37022E-10
-0.33,4.37114E-10
-0.34,4.36927E-10
-0.35,4.36915E-10
-0.36,4.37225E-10
-0.37,4.36839E-10
-0.38,4.37012E-10
-0.39,4.36959E-10
-0.4,4.36852E-10
-0.41,4.37095E-10
-0.42,4.37005E-10
-0.43,4.37116E-10
-0.44,4.37145E-10
-0.45,4.36965E-10
-0.46,4.37008E-10
-0.47,4.36758E-10
-0.48,4.37053E-10
-0.49,4.37002E-10
-0.5,4.36909E-10
-0.51,4.37082E-10
-0.52,4.36862E-10
-0.53,4.37047E-10
-0.54,4.36946E-10
-0.55,4.36993E-10
-0.56,4.37257E-10
-0.57,4.36998E-10
-0.58,4.37036E-10
-0.59,4.3694E-10
-0.6,4.37029E-10
-0.61,4.37043E-10
-0.62,4.36917E-10
-0.63,4.36958E-10
-0.64,4.36977E-10
-0.65,4.3715E-10
-0.66,4.37284E-10
-0.67,4.37055E-10
-0.68,4.37175E-10
-0.69,4.36831E-10
-0.7,4.37036E-10
-0.71,4.37036E-10
-0.72,4.37065E-10
-0.73,4.37156E-10
-0.74,4.37045E-10
-0.75,4.37044E-10
-0.76,4.37151E-10
-0.77,4.36827E-10
-0.78,4.37047E-10
-0.79,4.36874E-10
-0.8,4.37219E-10
-0.81,4.36998E-10
-0.82,4.36927E-10
-0.83,4.37151E-10
-0.84,4.37001E-10
-0.85,4.37094E-10
-0.86,4.37051E-10
-0.87,4.37011E-10
-0.88,4.3713E-10
-0.89,4.36852E-10
-0.9,4.37155E-10
-0.91,4.37053E-10
-0.92,4.36932E-10
-0.93,4.37214E-10
-0.94,4.36898E-10
-0.95,4.37173E-10
-0.96,4.37016E-10
-0.97,4.3692E-10
-0.98,4.37152E-10
-0.99,4.36974E-10
-1,4.37296E-10
-1.01,4.3698E-10
-1.02,4.36956E-10
-1.03,4.37145E-10
-1.04,4.36865E-10
-1.05,4.37165E-10
-1.06,4.36976E-10
-1.07,4.37121E-10
-1.08,4.37144E-10
-1.09,4.37045E-10
-1.1,4.37148E-10
-1.11,4.37E-10
-1.12,4.36989E-10
-1.13,4.37102E-10
-1.14,4.3674E-10
-1.15,4.37277E-10
-1.16,4.36902E-10
-1.17,4.3713E-10
-1.18,4.37004E-10
-1.19,4.37096E-10
-1.2,4.37182E-10
-1.21,4.36894E-10
-1.22,4.37175E-10
-1.23,4.36901E-10
-1.24,4.36867E-10
-1.25,4.37253E-10
-1.26,4.36762E-10
-1.27,4.36967E-10
-1.28,4.3699E-10
-1.29,4.36973E-10
-1.3,4.37246E-10
-1.31,4.36886E-10
-1.32,4.37214E-10
-1.33,4.37202E-10
-1.34,4.36836E-10
-1.35,4.37265E-10
-1.36,4.36913E-10
-1.37,4.3729E-10
-1.38,4.37065E-10
-1.39,4.36892E-10
-1.4,4.37347E-10
-1.41,4.36904E-10
-1.42,4.37231E-10
-1.43,4.36903E-10
-1.44,4.36902E-10
-1.45,4.37137E-10
-1.46,4.36859E-10
-1.47,4.3722E-10
-1.48,4.36915E-10
-1.49,4.36862E-10
-1.5,4.37311E-10
-1.51,4.3684E-10
-1.52,4.37286E-10
-1.53,4.36961E-10
-1.54,4.37013E-10
-1.55,4.36984E-10
-1.56,4.36815E-10
-1.57,4.3717E-10
-1.58,4.36806E-10
-1.59,4.3696E-10
-1.6,4.36943E-10
-1.61,4.36859E-10
-1.62,4.37017E-10
-1.63,4.3687E-10
-1.64,4.36991E-10
-1.65,4.36934E-10
-1.66,4.36702E-10
-1.67,4.36978E-10
-1.68,4.36657E-10
-1.69,4.36895E-10
-1.7,4.36617E-10
-1.71,4.36656E-10
-1.72,4.36726E-10
-1.73,4.36398E-10
-1.74,4.36758E-10
-1.75,4.36592E-10
-1.76,4.36318E-10
-1.77,4.36542E-10
-1.78,4.36355E-10
-1.79,4.3652E-10
-1.8,4.3638E-10
-1.81,4.36367E-10
-1.82,4.36504E-10
-1.83,4.36227E-10
-1.84,4.36458E-10
-1.85,4.36107E-10
-1.86,4.36354E-10
-1.87,4.36352E-10
-1.88,4.36189E-10
-1.89,4.36258E-10
-1.9,4.35945E-10
-1.91,4.36193E-10
-1.92,4.36008E-10
-1.93,4.36051E-10
-1.94,4.36197E-10
-1.95,4.36079E-10
-1.96,4.36148E-10
-1.97,4.35722E-10
-1.98,4.35975E-10
-1.99,4.36076E-10
-2,4.35761E-10
-2.01,4.36128E-10
-2.02,4.35634E-10
-2.03,4.35877E-10
-2.04,4.35945E-10
-2.05,4.35572E-10
-2.06,4.3582E-10
-2.07,4.3555E-10
-2.08,4.35562E-10
-2.09,4.35777E-10
-2.1,4.35333E-10
-2.11,4.35667E-10
-2.12,4.35274E-10
-2.13,4.35408E-10
-2.14,4.35458E-10
-2.15,4.35348E-10
-2.16,4.35478E-10
-2.17,4.35244E-10
-2.18,4.35348E-10
-2.19,4.35147E-10
-2.2,4.35086E-10
-2.21,4.35308E-10
-2.22,4.35062E-10
-2.23,4.35002E-10
-2.24,4.35034E-10
-2.25,4.3483E-10
-2.26,4.34757E-10
-2.27,4.34722E-10
-2.28,4.34837E-10
-2.29,4.34784E-10
-2.3,4.34652E-10
-2.31,4.34931E-10
-2.32,4.34407E-10
-2.33,4.34687E-10
-2.34,4.34412E-10
-2.35,4.34376E-10
-2.36,4.34476E-10
-2.37,4.34349E-10
-2.38,4.34624E-10
-2.39,4.341E-10
-2.4,4.34256E-10
-2.41,4.34227E-10
-2.42,4.34054E-10
-2.43,4.34272E-10
-2.44,4.33884E-10
-2.45,4.34052E-10
-2.46,4.34022E-10
-2.47,4.33725E-10
-2.48,4.33943E-10
-2.49,4.33391E-10
-2.5,4.33593E-10
-2.51,4.33604E-10
-2.52,4.33421E-10
-2.53,4.33653E-10
-2.54,4.33201E-10
-2.55,4.33341E-10
-2.56,4.33352E-10
-2.57,4.33156E-10
-2.58,4.33202E-10
-2.59,4.3279E-10
-2.6,4.3301E-10
-2.61,4.32762E-10
-2.62,4.32829E-10
-2.63,4.32655E-10
-2.64,4.32459E-10
-2.65,4.32673E-10
-2.66,4.32459E-10
-2.67,4.3237E-10
-2.68,4.32313E-10
-2.69,4.31969E-10
-2.7,4.32176E-10
-2.71,4.31895E-10
-2.72,4.32054E-10
-2.73,4.31804E-10
-2.74,4.31682E-10
-2.75,4.31623E-10
-2.76,4.31352E-10
-2.77,4.31459E-10
-2.78,4.31267E-10
-2.79,4.3097E-10
-2.8,4.31176E-10
-2.81,4.30721E-10
-2.82,4.30792E-10
-2.83,4.30693E-10
-2.84,4.30418E-10
-2.85,4.30575E-10
-2.86,4.30234E-10
-2.87,4.30222E-10
-2.88,4.29959E-10
-2.89,4.29926E-10
-2.9,4.2978E-10
-2.91,4.29423E-10
-2.92,4.2962E-10
-2.93,4.29239E-10
-2.94,4.29125E-10
-2.95,4.29009E-10
-2.96,4.28699E-10
-2.97,4.2872E-10
-2.98,4.28212E-10
-2.99,4.28295E-10
-3,4.27993E-10
-3.01,4.27786E-10
-3.02,4.2788E-10
-3.03,4.27509E-10
-3.04,4.27265E-10
-3.05,4.27358E-10
-3.06,4.26831E-10
-3.07,4.27056E-10
-3.08,4.26344E-10
-3.09,4.26289E-10
-3.1,4.26126E-10
-3.11,4.25874E-10
-3.12,4.2578E-10
-3.13,4.25401E-10
-3.14,4.25289E-10
-3.15,4.25078E-10
-3.16,4.24472E-10
-3.17,4.24648E-10
-3.18,4.24122E-10
-3.19,4.23919E-10
-3.2,4.23742E-10
-3.21,4.23249E-10
-3.22,4.23268E-10
-3.23,4.22877E-10
-3.24,4.22817E-10
-3.25,4.22394E-10
-3.26,4.22039E-10
-3.27,4.22013E-10
-3.28,4.21377E-10
-3.29,4.21296E-10
-3.3,4.2075E-10
-3.31,4.20644E-10
-3.32,4.20274E-10
-3.33,4.1979E-10
-3.34,4.19716E-10
-3.35,4.1909E-10
-3.36,4.19097E-10
-3.37,4.18757E-10
-3.38,4.18108E-10
-3.39,4.17994E-10
-3.4,4.17246E-10
-3.41,4.17154E-10
-3.42,4.16935E-10
-3.43,4.16414E-10
-3.44,4.16069E-10
-3.45,4.15516E-10
-3.46,4.15239E-10
-3.47,4.1489E-10
-3.48,4.14484E-10
-3.49,4.14141E-10
-3.5,4.13458E-10
-3.51,4.1313E-10
-3.52,4.12742E-10
-3.53,4.12261E-10
-3.54,4.11908E-10
-3.55,4.11107E-10
-3.56,4.10941E-10
-3.57,4.105E-10
-3.58,4.09803E-10
-3.59,4.09469E-10
-3.6,4.08893E-10
-3.61,4.08845E-10
-3.62,4.08137E-10
-3.63,4.0749E-10
-3.64,4.07047E-10
-3.65,4.06557E-10
-3.66,4.0599E-10
-3.67,4.057E-10
-3.68,4.05193E-10
-3.69,4.04752E-10
-3.7,4.03997E-10
-3.71,4.03523E-10
-3.72,4.02851E-10
-3.73,4.02435E-10
-3.74,4.01992E-10
-3.75,4.01499E-10
-3.76,4.01082E-10
-3.77,4.0033E-10
-3.78,4.0004E-10
-3.79,3.99552E-10
-3.8,3.98752E-10
-3.81,3.98448E-10
-3.82,3.97795E-10
-3.83,3.97252E-10
-3.84,3.96806E-10
-3.85,3.96031E-10
-3.86,3.95762E-10
-3.87,3.95157E-10
-3.88,3.945E-10
-3.89,3.9431E-10
-3.9,3.93494E-10
-3.91,3.93151E-10
-3.92,3.92402E-10
-3.93,3.91955E-10
-3.94,3.91653E-10
-3.95,3.91055E-10
-3.96,3.9071E-10
-3.97,3.8996E-10
-3.98,3.89556E-10
-3.99,3.89125E-10
-4,3.88539E-10
-4.01,3.88055E-10
-4.02,3.87564E-10
-4.03,3.87026E-10
-4.04,3.86426E-10
-4.05,3.85857E-10
-4.06,3.85642E-10
-4.07,3.85025E-10
-4.08,3.84518E-10
-4.09,3.84176E-10
-4.1,3.83543E-10
-4.11,3.83248E-10
-4.12,3.82687E-10
-4.13,3.82144E-10
-4.14,3.81858E-10
-4.15,3.81334E-10
-4.16,3.81132E-10
-4.17,3.80448E-10
-4.18,3.80134E-10
-4.19,3.7961E-10
-4.2,3.79284E-10
-4.21,3.78768E-10
-4.22,3.78389E-10
-4.23,3.78187E-10
-4.24,3.77534E-10
-4.25,3.7714E-10
-4.26,3.76867E-10
-4.27,3.76378E-10
-4.28,3.75995E-10
-4.29,3.75491E-10
-4.3,3.75071E-10
-4.31,3.74922E-10
-4.32,3.74372E-10
-4.33,3.74314E-10
-4.34,3.73838E-10
-4.35,3.73459E-10
-4.36,3.7329E-10
-4.37,3.72782E-10
-4.38,3.72617E-10
-4.39,3.72096E-10
-4.4,3.72035E-10
-4.41,3.71513E-10
-4.42,3.71008E-10
-4.43,3.71019E-10
-4.44,3.70697E-10
-4.45,3.70531E-10
-4.46,3.70139E-10
-4.47,3.69769E-10
-4.48,3.69604E-10
-4.49,3.68865E-10
-4.5,3.69046E-10
-4.51,3.68606E-10
-4.52,3.68206E-10
-4.53,3.68229E-10
-4.54,3.67809E-10
-4.55,3.67672E-10
-4.56,3.67086E-10
-4.57,3.6703E-10
-4.58,3.66883E-10
-4.59,3.6653E-10
-4.6,3.66498E-10
-4.61,3.65755E-10
-4.62,3.65808E-10
-4.63,3.65503E-10
-4.64,3.65108E-10
-4.65,3.65109E-10
-4.66,3.64754E-10
-4.67,3.64627E-10
-4.68,3.64346E-10
-4.69,3.63922E-10
-4.7,3.63835E-10
-4.71,3.63506E-10
-4.72,3.63252E-10
-4.73,3.63251E-10
-4.74,3.62884E-10
-4.75,3.62831E-10
-4.76,3.62382E-10
-4.77,3.62256E-10
-4.78,3.62028E-10
-4.79,3.61977E-10
-4.8,3.61756E-10
-4.81,3.61379E-10
-4.82,3.61348E-10
-4.83,3.60952E-10
-4.84,3.60829E-10
-4.85,3.60563E-10
-4.86,3.60338E-10
-4.87,3.60274E-10
-4.88,3.60009E-10
-4.89,3.59868E-10
-4.9,3.59796E-10
-4.91,3.59438E-10
-4.92,3.59408E-10
-4.93,3.59082E-10
-4.94,3.58984E-10
-4.95,3.58666E-10
-4.96,3.58592E-10
-4.97,3.58546E-10
-4.98,3.58045E-10
-4.99,3.5821E-10
-5,3.57847E-10
-5.01,3.57624E-10
-5.02,3.57769E-10
-5.03,3.57194E-10
-5.04,3.57257E-10
-5.05,3.56995E-10
-5.06,3.56796E-10
-5.07,3.56655E-10
-5.08,3.56458E-10
-5.09,3.56394E-10
-5.1,3.56297E-10
-5.11,3.56148E-10
-5.12,3.55922E-10
-5.13,3.55759E-10
-5.14,3.55695E-10
-5.15,3.55338E-10
-5.16,3.55274E-10
-5.17,3.54919E-10
-5.18,3.5474E-10
-5.19,3.55E-10
-5.2,3.54608E-10
-5.21,3.54526E-10
-5.22,3.5424E-10
-5.23,3.54111E-10
-5.24,3.54025E-10
-5.25,3.53917E-10
-5.26,3.53906E-10
-5.27,3.5355E-10
-5.28,3.53293E-10
-5.29,3.53143E-10
-5.3,3.52969E-10
-5.31,3.5298E-10
-5.32,3.52788E-10
-5.33,3.52641E-10
-5.34,3.52659E-10
-5.35,3.52245E-10
-5.36,3.52331E-10
-5.37,3.5206E-10
-5.38,3.51982E-10
-5.39,3.51694E-10
-5.4,3.51542E-10
-5.41,3.51478E-10
-5.42,3.51431E-10
-5.43,3.5115E-10
-5.44,3.51197E-10
-5.45,3.51097E-10
-5.46,3.51024E-10
-5.47,3.50682E-10
-5.48,3.50714E-10
-5.49,3.50375E-10
-5.5,3.50194E-10
-5.51,3.50317E-10
-5.52,3.49867E-10
-5.53,3.4975E-10
-5.54,3.49825E-10
-5.55,3.49461E-10
-5.56,3.4942E-10
-5.57,3.49074E-10
-5.58,3.49085E-10
-5.59,3.48953E-10
-5.6,3.48751E-10
-5.61,3.48744E-10
-5.62,3.48473E-10
-5.63,3.48513E-10
-5.64,3.48284E-10
-5.65,3.48013E-10
-5.66,3.48005E-10
-5.67,3.47795E-10
-5.68,3.47699E-10
-5.69,3.47646E-10
-5.7,3.47429E-10
-5.71,3.473E-10
-5.72,3.47079E-10
-5.73,3.47069E-10
-5.74,3.46822E-10
-5.75,3.46631E-10
-5.76,3.46737E-10
-5.77,3.46257E-10
-5.78,3.46262E-10
-5.79,3.46079E-10
-5.8,3.45935E-10
-5.81,3.45765E-10
-5.82,3.45626E-10
-5.83,3.45521E-10
-5.84,3.45298E-10
-5.85,3.4527E-10
-5.86,3.45169E-10
-5.87,3.44875E-10
-5.88,3.44772E-10
-5.89,3.44608E-10
-5.9,3.44455E-10
-5.91,3.4452E-10
-5.92,3.43952E-10
-5.93,3.44099E-10
-5.94,3.43762E-10
-5.95,3.43666E-10
-5.96,3.43488E-10
-5.97,3.43295E-10
-5.98,3.43178E-10
-5.99,3.43046E-10
-6,3.4278E-10
-6,3.4377E-10
-5.99,3.44092E-10
-5.98,3.44274E-10
-5.97,3.44529E-10
-5.96,3.44664E-10
-5.95,3.44956E-10
-5.94,3.44968E-10
-5.93,3.45227E-10
-5.92,3.45336E-10
-5.91,3.4555E-10
-5.9,3.45674E-10
-5.89,3.45816E-10
-5.88,3.45935E-10
-5.87,3.46253E-10
-5.86,3.46154E-10
-5.85,3.4658E-10
-5.84,3.46486E-10
-5.83,3.46792E-10
-5.82,3.4681E-10
-5.81,3.47143E-10
-5.8,3.47222E-10
-5.79,3.47532E-10
-5.78,3.47487E-10
-5.77,3.47725E-10
-5.76,3.47843E-10
-5.75,3.48035E-10
-5.74,3.48215E-10
-5.73,3.48325E-10
-5.72,3.48428E-10
-5.71,3.48605E-10
-5.7,3.48656E-10
-5.69,3.48874E-10
-5.68,3.48973E-10
-5.67,3.49039E-10
-5.66,3.49313E-10
-5.65,3.4947E-10
-5.64,3.49616E-10
-5.63,3.49743E-10
-5.62,3.49924E-10
-5.61,3.50049E-10
-5.6,3.5026E-10
-5.59,3.50315E-10
-5.58,3.50594E-10
-5.57,3.5066E-10
-5.56,3.5088E-10
-5.55,3.50785E-10
-5.54,3.51094E-10
-5.53,3.51052E-10
-5.52,3.51489E-10
-5.51,3.51448E-10
-5.5,3.5166E-10
-5.49,3.51717E-10
-5.48,3.51964E-10
-5.47,3.52009E-10
-5.46,3.52288E-10
-5.45,3.52241E-10
-5.44,3.52586E-10
-5.43,3.52509E-10
-5.42,3.52801E-10
-5.41,3.52879E-10
-5.4,3.53131E-10
-5.39,3.53064E-10
-5.38,3.53287E-10
-5.37,3.53303E-10
-5.36,3.53754E-10
-5.35,3.53612E-10
-5.34,3.53925E-10
-5.33,3.54048E-10
-5.32,3.54166E-10
-5.31,3.54257E-10
-5.3,3.54442E-10
-5.29,3.54433E-10
-5.28,3.54767E-10
-5.27,3.54883E-10
-5.26,3.55019E-10
-5.25,3.55134E-10
-5.24,3.55233E-10
-5.23,3.55347E-10
-5.22,3.55529E-10
-5.21,3.55572E-10
-5.2,3.55771E-10
-5.19,3.5593E-10
-5.18,3.56091E-10
-5.17,3.56252E-10
-5.16,3.56337E-10
-5.15,3.56606E-10
-5.14,3.56535E-10
-5.13,3.56777E-10
-5.12,3.56752E-10
-5.11,3.5709E-10
-5.1,3.5706E-10
-5.09,3.5723E-10
-5.08,3.57283E-10
-5.07,3.57591E-10
-5.06,3.57651E-10
-5.05,3.57828E-10
-5.04,3.57843E-10
-5.03,3.58023E-10
-5.02,3.5799E-10
-5.01,3.58417E-10
-5,3.58297E-10
-4.99,3.58622E-10
-4.98,3.58532E-10
-4.97,3.58961E-10
-4.96,3.58891E-10
-4.95,3.59203E-10
-4.94,3.59051E-10
-4.93,3.59467E-10
-4.92,3.59303E-10
-4.91,3.59666E-10
-4.9,3.59673E-10
-4.89,3.59947E-10
-4.88,3.59846E-10
-4.87,3.60218E-10
-4.86,3.60159E-10
-4.85,3.60399E-10
-4.84,3.60408E-10
-4.83,3.60693E-10
-4.82,3.6068E-10
-4.81,3.60855E-10
-4.8,3.60943E-10
-4.79,3.61137E-10
-4.78,3.61131E-10
-4.77,3.61289E-10
-4.76,3.61505E-10
-4.75,3.61632E-10
-4.74,3.61603E-10
-4.73,3.61794E-10
-4.72,3.62065E-10
-4.71,3.621E-10
-4.7,3.62149E-10
-4.69,3.62182E-10
-4.68,3.62378E-10
-4.67,3.62515E-10
-4.66,3.6268E-10
-4.65,3.62694E-10
-4.64,3.62884E-10
-4.63,3.62789E-10
-4.62,3.63101E-10
-4.61,3.62957E-10
-4.6,3.63276E-10
-4.59,3.63137E-10
-4.58,3.63442E-10
-4.57,3.63354E-10
-4.56,3.63644E-10
-4.55,3.63499E-10
-4.54,3.63766E-10
-4.53,3.63717E-10
-4.52,3.6403E-10
-4.51,3.63877E-10
-4.5,3.64156E-10
-4.49,3.64049E-10
-4.48,3.64322E-10
-4.47,3.64153E-10
-4.46,3.6445E-10
-4.45,3.64345E-10
-4.44,3.64733E-10
-4.43,3.6462E-10
-4.42,3.64817E-10
-4.41,3.64781E-10
-4.4,3.64983E-10
-4.39,3.64947E-10
-4.38,3.65185E-10
-4.37,3.65181E-10
-4.36,3.65218E-10
-4.35,3.65435E-10
-4.34,3.6546E-10
-4.33,3.65701E-10
-4.32,3.65614E-10
-4.31,3.65804E-10
-4.3,3.65847E-10
-4.29,3.65921E-10
-4.28,3.65934E-10
-4.27,3.66068E-10
-4.26,3.66126E-10
-4.25,3.66352E-10
-4.24,3.66245E-10
-4.23,3.66539E-10
-4.22,3.66569E-10
-4.21,3.66757E-10
-4.2,3.6677E-10
-4.19,3.67011E-10
-4.18,3.66816E-10
-4.17,3.67245E-10
-4.16,3.6705E-10
-4.15,3.67407E-10
-4.14,3.67239E-10
-4.13,3.67558E-10
-4.12,3.67546E-10
-4.11,3.67889E-10
-4.1,3.67651E-10
-4.09,3.68228E-10
-4.08,3.6806E-10
-4.07,3.68291E-10
-4.06,3.68246E-10
-4.05,3.68592E-10
-4.04,3.68489E-10
-4.03,3.6883E-10
-4.02,3.68862E-10
-4.01,3.69137E-10
-4,3.69183E-10
-3.99,3.69312E-10
-3.98,3.69392E-10
-3.97,3.69656E-10
-3.96,3.6972E-10
-3.95,3.69974E-10
-3.94,3.70017E-10
-3.93,3.70179E-10
-3.92,3.70302E-10
-3.91,3.70493E-10
-3.9,3.7071E-10
-3.89,3.70645E-10
-3.88,3.71042E-10
-3.87,3.70976E-10
-3.86,3.71322E-10
-3.85,3.71369E-10
-3.84,3.7173E-10
-3.83,3.71769E-10
-3.82,3.72133E-10
-3.81,3.72097E-10
-3.8,3.72562E-10
-3.79,3.72457E-10
-3.78,3.72921E-10
-3.77,3.72977E-10
-3.76,3.73264E-10
-3.75,3.73323E-10
-3.74,3.73836E-10
-3.73,3.73717E-10
-3.72,3.74172E-10
-3.71,3.74087E-10
-3.7,3.74548E-10
-3.69,3.74645E-10
-3.68,3.75023E-10
-3.67,3.75076E-10
-3.66,3.75501E-10
-3.65,3.75558E-10
-3.64,3.75955E-10
-3.63,3.76014E-10
-3.62,3.76385E-10
-3.61,3.76492E-10
-3.6,3.76939E-10
-3.59,3.77073E-10
-3.58,3.77452E-10
-3.57,3.77651E-10
-3.56,3.78045E-10
-3.55,3.78158E-10
-3.54,3.78513E-10
-3.53,3.7881E-10
-3.52,3.78868E-10
-3.51,3.7927E-10
-3.5,3.79517E-10
-3.49,3.79837E-10
-3.48,3.80139E-10
-3.47,3.80466E-10
-3.46,3.80655E-10
-3.45,3.81063E-10
-3.44,3.81236E-10
-3.43,3.81741E-10
-3.42,3.81868E-10
-3.41,3.82357E-10
-3.4,3.82498E-10
-3.39,3.83052E-10
-3.38,3.83144E-10
-3.37,3.83657E-10
-3.36,3.83714E-10
-3.35,3.84225E-10
-3.34,3.84416E-10
-3.33,3.84939E-10
-3.32,3.85082E-10
-3.31,3.85614E-10
-3.3,3.85731E-10
-3.29,3.86298E-10
-3.28,3.86331E-10
-3.27,3.8689E-10
-3.26,3.87135E-10
-3.25,3.87613E-10
-3.24,3.87791E-10
-3.23,3.882E-10
-3.22,3.88478E-10
-3.21,3.88883E-10
-3.2,3.89207E-10
-3.19,3.89632E-10
-3.18,3.89909E-10
-3.17,3.90257E-10
-3.16,3.90522E-10
-3.15,3.90884E-10
-3.14,3.91261E-10
-3.13,3.91574E-10
-3.12,3.91975E-10
-3.11,3.9216E-10
-3.1,3.92504E-10
-3.09,3.92889E-10
-3.08,3.93256E-10
-3.07,3.93442E-10
-3.06,3.93926E-10
-3.05,3.94009E-10
-3.04,3.94522E-10
-3.03,3.94731E-10
-3.02,3.9526E-10
-3.01,3.95334E-10
-3,3.9578E-10
-2.99,3.95953E-10
-2.98,3.96555E-10
