Setup title,C-V_device2_100k_500k_1M_dark_post_IV
-0.46,4.35743E-10
-0.45,4.35974E-10
-0.44,4.35979E-10
-0.43,4.35737E-10
-0.42,4.35994E-10
-0.41,4.35692E-10
-0.4,4.36008E-10
-0.39,4.35987E-10
-0.38,4.36003E-10
-0.37,4.36149E-10
-0.36,4.35776E-10
-0.35,4.36091E-10
-0.34,4.35888E-10
-0.33,4.35846E-10
-0.32,4.36172E-10
-0.31,4.35817E-10
-0.3,4.36115E-10
-0.29,4.3607E-10
-0.28,4.35916E-10
-0.27,4.36263E-10
-0.26,4.35688E-10
-0.25,4.36052E-10
-0.24,4.35991E-10
-0.23,4.35928E-10
-0.22,4.36131E-10
-0.21,4.35743E-10
-0.2,4.35989E-10
-0.19,4.35979E-10
-0.18,4.35934E-10
-0.17,4.36329E-10
-0.16,4.35811E-10
-0.15,4.36021E-10
-0.14,4.35918E-10
-0.13,4.36036E-10
-0.12,4.36096E-10
-0.11,4.36033E-10
-0.1,4.36182E-10
-0.09,4.36075E-10
-0.08,4.36039E-10
-0.07,4.36165E-10
-0.06,4.35985E-10
-0.05,4.36284E-10
-0.04,4.36136E-10
-0.03,4.36073E-10
-0.02,4.36278E-10
-0.01,4.35904E-10
0,4.36395E-10
0.01,4.36138E-10
0.02,4.3604E-10
0.03,4.36038E-10
0.04,4.36026E-10
0.05,4.36219E-10
0.06,4.36072E-10
0.07,4.36217E-10
0.08,4.36133E-10
0.09,4.35985E-10
0.1,4.36242E-10
0.11,4.36037E-10
0.12,4.36103E-10
0.13,4.36112E-10
0.14,4.36025E-10
0.15,4.36252E-10
0.16,4.36076E-10
0.17,4.3617E-10
0.18,4.36275E-10
0.19,4.36125E-10
0.2,4.36387E-10
0.21,4.36043E-10
0.22,4.36255E-10
0.23,4.36121E-10
0.24,4.36108E-10
0.25,4.3634E-10
0.26,4.36071E-10
0.27,4.36414E-10
0.28,4.36212E-10
0.29,4.36362E-10
0.3,4.36326E-10
0.31,4.35935E-10
0.32,4.36417E-10
0.33,4.36066E-10
0.34,4.3625E-10
0.35,4.36381E-10
0.36,4.36049E-10
0.37,4.36223E-10
0.38,4.36133E-10
0.39,4.36069E-10
0.4,4.36281E-10
0.41,4.36135E-10
0.42,4.36429E-10
0.43,4.36021E-10
0.44,4.36317E-10
0.45,4.36223E-10
0.46,4.36242E-10
0.47,4.36268E-10
0.48,4.36176E-10
0.49,4.36262E-10
0.5,4.36233E-10
0.51,4.36318E-10
0.52,4.36496E-10
0.53,4.36136E-10
0.54,4.36412E-10
0.55,4.36271E-10
0.56,4.36319E-10
0.57,4.36171E-10
0.58,4.36232E-10
0.59,4.3643E-10
0.6,4.36288E-10
0.61,4.3617E-10
0.62,4.36393E-10
0.63,4.36214E-10
0.64,4.36439E-10
0.65,4.36271E-10
0.66,4.36235E-10
0.67,4.3647E-10
0.68,4.36187E-10
0.69,4.36383E-10
0.7,4.36205E-10
0.71,4.36363E-10
0.72,4.36429E-10
0.73,4.36255E-10
0.74,4.36544E-10
0.75,4.36291E-10
0.76,4.36292E-10
0.77,4.36469E-10
0.78,4.36225E-10
0.79,4.36546E-10
0.8,4.36159E-10
0.81,4.36475E-10
0.82,4.36332E-10
0.83,4.36363E-10
0.84,4.36512E-10
0.85,4.36391E-10
0.86,4.36383E-10
0.87,4.3647E-10
0.88,4.36271E-10
0.89,4.36405E-10
